,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2013,Dos Amaros,Itapolis,SP,Sexta,24, Maio ,2013,19:30,Oeste - SP,Avaí - SC,1,1,0,0,1,1,1
1,B,2013,Dilzon Melo,Varginha,MG,Sexta,24, Maio ,2013,21:50,Boa - MG,Chapecoense - SC,1,4,0,1,0,0,3
2,B,2013,Orlando Scarpelli,Florianopolis,SC,Sábado,25, Maio ,2013,16:20,Figueirense - SC,América - RN,3,2,1,0,0,3,0
3,B,2013,Arena Joinville,Joinville,SC,Sábado,25, Maio ,2013,16:20,Joinville - SC,Bragantino - SP,3,0,1,0,0,3,0
4,B,2013,Mauro Sampaio,Juazeiro do Norte,CE,Sábado,25, Maio ,2013,16:20,Icasa - CE,Sport - PE,2,1,1,0,0,3,0
5,B,2013,Almeidão,Joao Pessoa,PB,Sábado,25, Maio ,2013,21:00,Abc - RN,Paraná - PR,0,2,0,1,0,0,3
6,B,2013,Novelli Junior,Itu,SP,Sábado,25, Maio ,2013,16:20,Palmeiras - SP,Atlético - GO,1,0,1,0,0,3,0
7,B,2013,Anacleto Campanella,Sao Caetano do Sul,SP,Sexta,24, Maio ,2013,19:30,São Caetano - SP,Ceará - CE,0,0,0,0,1,1,1
8,B,2013,Dario Leite,Guaratingueta,SP,Sábado,25, Maio ,2013,21:00,Guaratinguetá - SP,América - MG,1,0,1,0,0,3,0
9,B,2013,Arena Verde,Paragominas,PA,Sexta,24, Maio ,2013,21:50,Paysandu - PA,A.s.a. - AL,1,1,0,0,1,1,1
10,B,2013,Coaracy Fonseca,Arapiraca,AL,Terça,28, Maio ,2013,21:50,A.s.a. - AL,Palmeiras - SP,0,3,0,1,0,0,3
11,B,2013,Independência,Belo Horizonte,MG,Terça,28, Maio ,2013,21:50,América - MG,Figueirense - SC,2,4,0,1,0,0,3
12,B,2013,Ressacada,Florianopolis,SC,Terça,28, Maio ,2013,19:30,Avaí - SC,Guaratinguetá - SP,2,1,1,0,0,3,0
13,B,2013,Colosso da Lagoa,Erechim,RS,Terça,28, Maio ,2013,21:50,Chapecoense - SC,Oeste - SP,1,1,0,0,1,1,1
14,B,2013,Presidente Vargas/CE,Fortaleza,CE,Terça,28, Maio ,2013,19:30,Ceará - CE,Paysandu - PA,1,0,1,0,0,3,0
15,B,2013,Manoel Barretto,Ceara,Mirim,Terça,28, Maio ,2013,19:30,América - RN,Icasa - CE,1,1,0,0,1,1,1
16,B,2013,Érton Queiroz,Curitiba,PR,Terça,28, Maio ,2013,15:00,Paraná - PR,São Caetano - SP,0,0,0,0,1,1,1
17,B,2013,Serra Dourada,Goiania,GO,Terça,28, Maio ,2013,21:50,Atlético - GO,Joinville - SC,2,1,1,0,0,3,0
18,B,2013,Nabi Abi Chedid,Braganca Paulista,SP,Terça,28, Maio ,2013,21:50,Bragantino - SP,Boa - MG,0,1,0,1,0,0,3
19,B,2013,Ilha do Retiro,Recife,PE,Terça,28, Maio ,2013,19:30,Sport - PE,Abc - RN,1,0,1,0,0,3,0
20,B,2013,Dos Amaros,Itapolis,SP,Sexta,31, Maio ,2013,21:50,Oeste - SP,Paraná - PR,1,0,1,0,0,3,0
21,B,2013,Dilzon Melo,Varginha,MG,Sábado,1, Junho ,2013,21:00,Boa - MG,Atlético - GO,0,0,0,0,1,1,1
22,B,2013,Orlando Scarpelli,Florianopolis,SC,Sexta,31, Maio ,2013,21:50,Figueirense - SC,Sport - PE,3,2,1,0,0,3,0
23,B,2013,Arena Joinville,Joinville,SC,Sexta,31, Maio ,2013,19:30,Joinville - SC,A.s.a. - AL,2,0,1,0,0,3,0
24,B,2013,Mauro Sampaio,Juazeiro do Norte,CE,Sexta,31, Maio ,2013,19:30,Icasa - CE,Avaí - SC,3,4,0,1,0,0,3
25,B,2013,Frasqueirão,Natal,RN,Sexta,31, Maio ,2013,21:50,Abc - RN,Ceará - CE,1,1,0,0,1,1,1
26,B,2013,Novelli Junior,Itu,SP,Sábado,1, Junho ,2013,16:20,Palmeiras - SP,América - MG,0,1,0,1,0,0,3
27,B,2013,Anacleto Campanella,Sao Caetano do Sul,SP,Sábado,1, Junho ,2013,21:00,São Caetano - SP,Chapecoense - SC,0,1,0,1,0,0,3
28,B,2013,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,1, Junho ,2013,16:20,Bragantino - SP,Guaratinguetá - SP,2,0,1,0,0,3,0
29,B,2013,Arena Verde,Paragominas,PA,Sexta,31, Maio ,2013,19:30,Paysandu - PA,América - RN,1,1,0,0,1,1,1
30,B,2013,Dos Amaros,Itapolis,SP,Terça,4, Junho ,2013,19:30,Oeste - SP,Ceará - CE,2,1,1,0,0,3,0
31,B,2013,Dilzon Melo,Varginha,MG,Terça,4, Junho ,2013,19:30,Boa - MG,A.s.a. - AL,1,2,0,1,0,0,3
32,B,2013,Orlando Scarpelli,Florianopolis,SC,Terça,4, Junho ,2013,19:30,Figueirense - SC,Chapecoense - SC,0,2,0,1,0,0,3
