,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,C,2014,Almeidão,Joao Pessoa,PB,Sábado,26, Abril ,2014,19:00,Botafogo - PB,Treze - PB,3,2,1,0,0,3,0
1,C,2014,Maximino Filho,Castanhal,PA,Sábado,26, Abril ,2014,16:00,Paysandu - PA,Águia de Marabá - PA,2,0,1,0,0,3,0
2,C,2014,Coaracy Fonseca,Arapiraca,AL,Sábado,7, Junho ,2014,16:00,Asa - AL,Crb - AL,0,1,0,1,0,0,3
3,C,2014,Cornélio de Barros,Salgueiro,PE,Segunda,28, Abril ,2014,21:30,Salgueiro - PE,Fortaleza - CE,0,1,0,1,0,0,3
4,C,2014,Passo das Emas,Lucas do Rio Verde,MT,Domingo,27, Abril ,2014,18:00,Cuiabá - MT,C.r.a.c. - GO,3,1,1,0,0,3,0
5,C,2014,Centenário,Caxias do Sul,RS,Sábado,26, Abril ,2014,16:00,Caxias - RS,Juventude - RS,0,0,0,0,1,1,1
6,C,2014,Aniceto Moscoso,Rio de Janeiro,RJ,Sábado,26, Abril ,2014,15:00,Madureira - RJ,Duque de Caxias - RJ,2,0,1,0,0,3,0
7,C,2014,Romildo Ferreira,Mogi Mirim,SP,Domingo,27, Abril ,2014,16:00,Mogi Mirim - SP,Guaratinguetá - SP,1,0,1,0,0,3,0
8,C,2014,Mário Helênio,Juiz de Fora,MG,Domingo,27, Abril ,2014,16:00,Tupi - MG,Macaé - RJ,1,1,0,0,1,1,1
9,C,2014,Anacleto Campanella,Sao Caetano do Sul,SP,Domingo,27, Abril ,2014,19:00,São Caetano - SP,Guarani - SP,1,0,1,0,0,3,0
10,C,2014,Gerson Amaral,Coruripe,AL,Sábado,3, Maio ,2014,19:00,Crb - AL,Paysandu - PA,0,0,0,0,1,1,1
11,C,2014,Zinho Oliveira,Maraba,PA,Domingo,4, Maio ,2014,16:00,Águia de Marabá - PA,Salgueiro - PE,3,0,1,0,0,3,0
12,C,2014,Genervino da Fonseca,Catalao,GO,Domingo,4, Maio ,2014,16:00,C.r.a.c. - GO,Botafogo - PB,2,2,0,0,1,1,1
13,C,2014,Ernani Sátyro,Campina Grande,PB,Domingo,4, Maio ,2014,16:00,Treze - PB,Asa - AL,1,1,0,0,1,1,1
14,C,2014,Presidente Vargas/CE,Fortaleza,CE,Domingo,4, Maio ,2014,19:00,Fortaleza - CE,Cuiabá - MT,2,1,1,0,0,3,0
15,C,2014,Décio Vitta,Americana,SP,Sábado,3, Maio ,2014,21:00,Guarani - SP,Madureira - RJ,1,1,0,0,1,1,1
16,C,2014,Alfredo Jaconi,Caxias do Sul,RS,Domingo,4, Maio ,2014,16:00,Juventude - RS,Tupi - MG,1,0,1,0,0,3,0
17,C,2014,Cláudio Moacyr,Macae,RJ,Sábado,3, Maio ,2014,16:00,Macaé - RJ,São Caetano - SP,1,0,1,0,0,3,0
18,C,2014,Romário Faria,Duque de Caxias,RJ,Sábado,3, Maio ,2014,16:00,Duque de Caxias - RJ,Mogi Mirim - SP,1,2,0,1,0,0,3
