,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2012,Presidente Vargas/CE,Fortaleza,CE,Sexta,18, Maio ,2012,21:00,Ceará - CE,América - MG,1,2,0,1,0,0,3
1,B,2012,Nazarenão,Goianinha,RN,Sábado,19, Maio ,2012,16:20,América - RN,Goiás - GO,5,2,1,0,0,3,0
2,B,2012,Rei Pelé,Maceio,AL,Sexta,18, Maio ,2012,21:00,C.r.b. - AL,Bragantino - SP,0,2,0,1,0,0,3
3,B,2012,Durival Britto,Curitiba,PR,Sábado,19, Maio ,2012,16:20,Paraná - PR,Guarani - SP,1,1,0,0,1,1,1
4,B,2012,Dilzon Melo,Varginha,MG,Sábado,19, Maio ,2012,16:20,Boa - MG,Avaí - SC,2,2,0,0,1,1,1
5,B,2012,Arena Barueri,Barueri,SP,Sábado,19, Maio ,2012,16:20,Grêmio Barueri - SP,Vitória - BA,0,1,0,1,0,0,3
6,B,2012,Arena Joinville,Joinville,SC,Sábado,19, Maio ,2012,16:20,Joinville - SC,Atlético - PR,1,4,0,1,0,0,3
7,B,2012,Heriberto Hulse,Criciuma,SC,Sábado,19, Maio ,2012,16:20,Criciuma - SC,Guaratinguetá - SP,4,1,1,0,0,3,0
8,B,2012,João Lamego,Ipatinga,MG,Sexta,18, Maio ,2012,21:00,Betim - MG,A.b.c. - RN,1,1,0,0,1,1,1
9,B,2012,Serra Dourada,Goiania,GO,Terça,5, Junho ,2012,21:00,Goiás - GO,Paraná - PR,2,0,1,0,0,3,0
10,B,2012,Anacleto Campanella,Sao Caetano do Sul,SP,Sábado,19, Maio ,2012,21:00,São Caetano - SP,A.s.a. - AL,0,1,0,1,0,0,3
11,B,2012,Ressacada,Florianopolis,SC,Terça,22, Maio ,2012,21:00,Avaí - SC,São Caetano - SP,1,0,1,0,0,3,0
12,B,2012,Manoel Barradas,Salvador,BA,Terça,5, Junho ,2012,21:00,Vitória - BA,América - RN,2,2,0,0,1,1,1
13,B,2012,Fernando Charub Farah,Paranagua,PR,Terça,10, Julho ,2012,21:00,Atlético - PR,Betim - MG,1,0,1,0,0,3,0
14,B,2012,Brinco de Ouro,Campinas,SP,Sexta,25, Maio ,2012,21:00,Guarani - SP,Boa - MG,0,0,0,0,1,1,1
15,B,2012,Frasqueirão,Natal,RN,Sexta,25, Maio ,2012,21:00,A.b.c. - RN,Joinville - SC,0,0,0,0,1,1,1
16,B,2012,Dario Leite,Guaratingueta,SP,Sábado,26, Maio ,2012,16:20,Guaratinguetá - SP,Ceará - CE,2,1,1,0,0,3,0
17,B,2012,Independência,Belo Horizonte,MG,Sábado,26, Maio ,2012,16:20,América - MG,C.r.b. - AL,4,0,1,0,0,3,0
18,B,2012,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,26, Maio ,2012,16:20,Bragantino - SP,Criciuma - SC,3,4,0,1,0,0,3
19,B,2012,Coaracy Fonseca,Arapiraca,AL,Sábado,26, Maio ,2012,21:00,A.s.a. - AL,Grêmio Barueri - SP,1,1,0,0,1,1,1
20,B,2012,Arena Joinville,Joinville,SC,Terça,29, Maio ,2012,19:30,Joinville - SC,Guarani - SP,1,0,1,0,0,3,0
21,B,2012,Nazarenão,Goianinha,RN,Terça,29, Maio ,2012,19:30,América - RN,Avaí - SC,1,0,1,0,0,3,0
22,B,2012,Heriberto Hulse,Criciuma,SC,Terça,29, Maio ,2012,21:50,Criciuma - SC,Vitória - BA,3,2,1,0,0,3,0
23,B,2012,Anacleto Campanella,Sao Caetano do Sul,SP,Terça,29, Maio ,2012,19:30,São Caetano - SP,Bragantino - SP,2,0,1,0,0,3,0
24,B,2012,Rei Pelé,Maceio,AL,Terça,29, Maio ,2012,19:30,C.r.b. - AL,Guaratinguetá - SP,3,4,0,1,0,0,3
25,B,2012,Dilzon Melo,Varginha,MG,Terça,29, Maio ,2012,21:50,Boa - MG,Atlético - PR,1,1,0,0,1,1,1
26,B,2012,Presidente Vargas/CE,Fortaleza,CE,Terça,29, Maio ,2012,19:30,Ceará - CE,Goiás - GO,2,2,0,0,1,1,1
27,B,2012,Arena Barueri,Barueri,SP,Terça,29, Maio ,2012,21:50,Grêmio Barueri - SP,A.b.c. - RN,0,3,0,1,0,0,3
28,B,2012,João Lamego,Ipatinga,MG,Terça,29, Maio ,2012,21:50,Betim - MG,A.s.a. - AL,1,0,1,0,0,3,0
29,B,2012,Durival Britto,Curitiba,PR,Terça,29, Maio ,2012,21:50,Paraná - PR,América - MG,1,1,0,0,1,1,1
30,B,2012,Manoel Barradas,Salvador,BA,Sábado,2, Junho ,2012,16:20,Vitória - BA,Betim - MG,4,0,1,0,0,3,0
31,B,2012,Dario Leite,Guaratingueta,SP,Sexta,1, Junho ,2012,21:00,Guaratinguetá - SP,América - RN,0,2,0,1,0,0,3
32,B,2012,Durival Britto,Curitiba,PR,Sexta,1, Junho ,2012,21:00,Atlético - PR,Grêmio Barueri - SP,3,0,1,0,0,3,0
33,B,2012,Serra Dourada,Goiania,GO,Sexta,1, Junho ,2012,21:00,Goiás - GO,C.r.b. - AL,1,0,1,0,0,3,0
34,B,2012,Ressacada,Florianopolis,SC,Sábado,2, Junho ,2012,16:20,Avaí - SC,Joinville - SC,1,2,0,1,0,0,3
35,B,2012,Brinco de Ouro,Campinas,SP,Sábado,2, Junho ,2012,16:20,Guarani - SP,Ceará - CE,4,1,1,0,0,3,0
36,B,2012,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,2, Junho ,2012,21:00,Bragantino - SP,Paraná - PR,3,3,0,0,1,1,1
37,B,2012,Independência,Belo Horizonte,MG,Sábado,2, Junho ,2012,16:20,América - MG,Criciuma - SC,3,0,1,0,0,3,0
38,B,2012,Coaracy Fonseca,Arapiraca,AL,Sábado,2, Junho ,2012,16:20,A.s.a. - AL,Boa - MG,3,2,1,0,0,3,0
39,B,2012,Frasqueirão,Natal,RN,Sábado,2, Junho ,2012,16:20,A.b.c. - RN,São Caetano - SP,0,1,0,1,0,0,3
40,B,2012,Anacleto Campanella,Sao Caetano do Sul,SP,Terça,5, Junho ,2012,21:00,São Caetano - SP,América - MG,1,1,0,0,1,1,1
41,B,2012,Arena Joinville,Joinville,SC,Terça,5, Junho ,2012,21:00,Joinville - SC,A.s.a. - AL,1,0,1,0,0,3,0
42,B,2012,Durival Britto,Curitiba,PR,Sábado,9, Junho ,2012,16:20,Paraná - PR,Guaratinguetá - SP,3,2,1,0,0,3,0
43,B,2012,Dilzon Melo,Varginha,MG,Sexta,8, Junho ,2012,21:00,Boa - MG,Vitória - BA,1,2,0,1,0,0,3
44,B,2012,João Lamego,Ipatinga,MG,Sexta,8, Junho ,2012,21:00,Betim - MG,Avaí - SC,1,2,0,1,0,0,3
45,B,2012,Nazarenão,Goianinha,RN,Sexta,8, Junho ,2012,21:00,América - RN,Bragantino - SP,2,1,1,0,0,3,0
46,B,2012,Heriberto Hulse,Criciuma,SC,Sábado,9, Junho ,2012,16:20,Criciuma - SC,Goiás - GO,3,0,1,0,0,3,0
47,B,2012,Arena Barueri,Barueri,SP,Sábado,9, Junho ,2012,16:20,Grêmio Barueri - SP,Guarani - SP,2,2,0,0,1,1,1
48,B,2012,Rei Pelé,Maceio,AL,Sábado,9, Junho ,2012,16:20,C.r.b. - AL,Atlético - PR,2,0,1,0,0,3,0
49,B,2012,Presidente Vargas/CE,Fortaleza,CE,Sábado,9, Junho ,2012,21:00,Ceará - CE,A.b.c. - RN,4,2,1,0,0,3,0
50,B,2012,Manoel Barradas,Salvador,BA,Terça,12, Junho ,2012,21:00,Vitória - BA,Guarani - SP,1,0,1,0,0,3,0
51,B,2012,Arena Barueri,Barueri,SP,Terça,12, Junho ,2012,21:00,Grêmio Barueri - SP,Paraná - PR,1,2,0,1,0,0,3
52,B,2012,João Lamego,Ipatinga,MG,Terça,12, Junho ,2012,21:00,Betim - MG,Boa - MG,1,2,0,1,0,0,3
53,B,2012,Ressacada,Florianopolis,SC,Sexta,15, Junho ,2012,21:00,Avaí - SC,América - MG,2,0,1,0,0,3,0
54,B,2012,Anacleto Campanella,Sao Caetano do Sul,SP,Sexta,15, Junho ,2012,21:00,São Caetano - SP,América - RN,3,2,1,0,0,3,0
55,B,2012,Arena Joinville,Joinville,SC,Sábado,16, Junho ,2012,16:20,Joinville - SC,Ceará - CE,1,1,0,0,1,1,1
56,B,2012,Fernando Charub Farah,Paranagua,PR,Sábado,16, Junho ,2012,16:20,Atlético - PR,Goiás - GO,0,0,0,0,1,1,1
57,B,2012,Frasqueirão,Natal,RN,Sábado,16, Junho ,2012,16:20,A.b.c. - RN,C.r.b. - AL,4,2,1,0,0,3,0
58,B,2012,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,16, Junho ,2012,16:20,Bragantino - SP,Guaratinguetá - SP,1,0,1,0,0,3,0
59,B,2012,Coaracy Fonseca,Arapiraca,AL,Sábado,16, Junho ,2012,21:00,A.s.a. - AL,Criciuma - SC,1,2,0,1,0,0,3
60,B,2012,Independência,Belo Horizonte,MG,Terça,19, Junho ,2012,21:00,América - MG,Bragantino - SP,3,2,1,0,0,3,0
61,B,2012,Heriberto Hulse,Criciuma,SC,Sábado,23, Junho ,2012,16:20,Criciuma - SC,Betim - MG,3,2,1,0,0,3,0
62,B,2012,Brinco de Ouro,Campinas,SP,Sábado,23, Junho ,2012,16:20,Guarani - SP,A.b.c. - RN,1,1,0,0,1,1,1
63,B,2012,Dario Leite,Guaratingueta,SP,Sexta,22, Junho ,2012,21:00,Guaratinguetá - SP,Avaí - SC,1,1,0,0,1,1,1
64,B,2012,Durival Britto,Curitiba,PR,Sexta,22, Junho ,2012,21:00,Paraná - PR,Joinville - SC,2,0,1,0,0,3,0
65,B,2012,Presidente Vargas/CE,Fortaleza,CE,Sábado,23, Junho ,2012,16:20,Ceará - CE,Atlético - PR,1,0,1,0,0,3,0
66,B,2012,Serra Dourada,Goiania,GO,Sábado,23, Junho ,2012,16:20,Goiás - GO,Vitória - BA,4,3,1,0,0,3,0
67,B,2012,Nazarenão,Goianinha,RN,Terça,19, Junho ,2012,21:00,América - RN,A.s.a. - AL,2,0,1,0,0,3,0
68,B,2012,Dilzon Melo,Varginha,MG,Sábado,23, Junho ,2012,21:00,Boa - MG,Grêmio Barueri - SP,4,1,1,0,0,3,0
69,B,2012,Rei Pelé,Maceio,AL,Terça,19, Junho ,2012,21:00,C.r.b. - AL,São Caetano - SP,2,2,0,0,1,1,1
70,B,2012,Arena Barueri,Barueri,SP,Terça,26, Junho ,2012,21:00,Grêmio Barueri - SP,América - MG,0,1,0,1,0,0,3
71,B,2012,Serra Dourada,Goiania,GO,Terça,26, Junho ,2012,21:00,Goiás - GO,Guaratinguetá - SP,1,1,0,0,1,1,1
72,B,2012,João Lamego,Ipatinga,MG,Terça,26, Junho ,2012,21:00,Betim - MG,Ceará - CE,1,2,0,1,0,0,3
73,B,2012,Fernando Charub Farah,Paranagua,PR,Sábado,30, Junho ,2012,16:20,Atlético - PR,Bragantino - SP,0,0,0,0,1,1,1
74,B,2012,Nazarenão,Goianinha,RN,Sexta,29, Junho ,2012,21:00,América - RN,Guarani - SP,1,0,1,0,0,3,0
75,B,2012,Coaracy Fonseca,Arapiraca,AL,Sexta,29, Junho ,2012,21:00,A.s.a. - AL,A.b.c. - RN,3,1,1,0,0,3,0
76,B,2012,Heriberto Hulse,Criciuma,SC,Sábado,30, Junho ,2012,16:20,Criciuma - SC,C.r.b. - AL,2,0,1,0,0,3,0
77,B,2012,Anacleto Campanella,Sao Caetano do Sul,SP,Sábado,30, Junho ,2012,16:20,São Caetano - SP,Paraná - PR,1,1,0,0,1,1,1
78,B,2012,Manoel Barradas,Salvador,BA,Sábado,30, Junho ,2012,16:20,Vitória - BA,Avaí - SC,2,0,1,0,0,3,0
79,B,2012,Dilzon Melo,Varginha,MG,Sábado,30, Junho ,2012,21:00,Boa - MG,Joinville - SC,0,0,0,0,1,1,1
80,B,2012,Brinco de Ouro,Campinas,SP,Terça,3, Julho ,2012,21:00,Guarani - SP,Betim - MG,1,0,1,0,0,3,0
81,B,2012,Dario Leite,Guaratingueta,SP,Terça,3, Julho ,2012,21:00,Guaratinguetá - SP,São Caetano - SP,0,1,0,1,0,0,3
82,B,2012,Presidente Vargas/CE,Fortaleza,CE,Sexta,6, Julho ,2012,21:00,Ceará - CE,Criciuma - SC,2,2,0,0,1,1,1
83,B,2012,Arena Joinville,Joinville,SC,Sexta,6, Julho ,2012,21:00,Joinville - SC,Grêmio Barueri - SP,4,0,1,0,0,3,0
84,B,2012,Ressacada,Florianopolis,SC,Sexta,6, Julho ,2012,21:00,Avaí - SC,A.s.a. - AL,2,0,1,0,0,3,0
85,B,2012,Independência,Belo Horizonte,MG,Sábado,7, Julho ,2012,16:20,América - MG,Atlético - PR,3,2,1,0,0,3,0
