,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,A,2021,Maracanã,Rio de Janeiro,RJ,Domingo,30, Maio ,2021,16:00,Flamengo - RJ,Palmeiras - SP,1,0,1,0,0,3,0
1,A,2021,Neo Química Arena,Sao Paulo,SP,Domingo,30, Maio ,2021,18:15,Corinthians - SP,Atlético - GO,0,1,0,1,0,0,3
2,A,2021,Morumbi,Sao Paulo,SP,Sábado,29, Maio ,2021,21:00,São Paulo - SP,Fluminense - RJ,0,0,0,0,1,1,1
3,A,2021,Mineirão,Belo Horizonte,MG,Domingo,30, Maio ,2021,11:00,Atlético Mineiro - MG,Fortaleza - CE,1,2,0,1,0,0,3
4,A,2021,Beira,Rio,Porto Alegre,Domingo,30, Maio ,2021,20:30,Internacional - RS,Sport - PE,2,2,0,0,1,1,1
5,A,2021,Arena Castelão,Fortaleza,CE,Domingo,30, Maio ,2021,16:00,Ceará - CE,Grêmio - RS,3,2,1,0,0,3,0
6,A,2021,Pituaçu,Salvador,BA,Sábado,29, Maio ,2021,20:00,Bahia - BA,Santos - SP,3,0,1,0,0,3,0
7,A,2021,Arena da Baixada,Curitiba,PR,Domingo,30, Maio ,2021,18:15,Athletico Paranaense - PR,America - MG,1,0,1,0,0,3,0
8,A,2021,Arena Condá,Chapeco,SC,Domingo,30, Maio ,2021,18:15,Chapecoense - SC,Red Bull Bragantino - SP,0,3,0,1,0,0,3
9,A,2021,Arena Pantanal,Cuiaba,MT,Sábado,29, Maio ,2021,19:00,Cuiabá - MT,Juventude - RS,2,2,0,0,1,1,1
10,A,2021,São Januário,Rio de Janeiro,RJ,Domingo,6, Junho ,2021,11:00,Fluminense - RJ,Cuiabá - MT,1,0,1,0,0,3,0
11,A,2021,Allianz Parque,Sao Paulo,SP,Domingo,6, Junho ,2021,18:15,Palmeiras - SP,Chapecoense - SC,3,1,1,0,0,3,0
12,A,2021,Vila Belmiro,Santos,SP,Sábado,5, Junho ,2021,21:00,Santos - SP,Ceará - CE,3,1,1,0,0,3,0
13,A,2021,Independência,Belo Horizonte,MG,Domingo,6, Junho ,2021,16:00,America - MG,Corinthians - SP,0,1,0,1,0,0,3
14,A,2021,Arena do Grêmio,Porto Alegre,RS,Terça,23, Novembro ,2021,21:00,Grêmio - RS,Flamengo - RJ,2,2,0,0,1,1,1
15,A,2021,Arena Castelão,Fortaleza,CE,Domingo,6, Junho ,2021,16:00,Fortaleza - CE,Internacional - RS,5,1,1,0,0,3,0
16,A,2021,Ilha do Retiro,Recife,PE,Domingo,6, Junho ,2021,20:30,Sport - PE,Atlético Mineiro - MG,0,1,0,1,0,0,3
17,A,2021,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,5, Junho ,2021,21:00,Red Bull Bragantino - SP,Bahia - BA,3,3,0,0,1,1,1
18,A,2021,Alfredo Jaconi,Caxias do Sul,RS,Domingo,6, Junho ,2021,18:15,Juventude - RS,Athletico Paranaense - PR,0,3,0,1,0,0,3
19,A,2021,Antônio Accioly,Goiania,GO,Sábado,5, Junho ,2021,19:00,Atlético - GO,São Paulo - SP,2,0,1,0,0,3,0
20,A,2021,Maracanã,Rio de Janeiro,RJ,Domingo,13, Junho ,2021,16:00,Flamengo - RJ,America - MG,2,0,1,0,0,3,0
21,A,2021,Allianz Parque,Sao Paulo,SP,Sábado,12, Junho ,2021,19:00,Palmeiras - SP,Corinthians - SP,1,1,0,0,1,1,1
22,A,2021,Vila Belmiro,Santos,SP,Sábado,12, Junho ,2021,19:00,Santos - SP,Juventude - RS,0,0,0,0,1,1,1
23,A,2021,Mineirão,Belo Horizonte,MG,Domingo,13, Junho ,2021,16:00,Atlético Mineiro - MG,São Paulo - SP,1,0,1,0,0,3,0
24,A,2021,Arena do Grêmio,Porto Alegre,RS,Domingo,13, Junho ,2021,16:00,Grêmio - RS,Athletico Paranaense - PR,0,1,0,1,0,0,3
25,A,2021,Arena Castelão,Fortaleza,CE,Domingo,13, Junho ,2021,20:30,Fortaleza - CE,Sport - PE,1,0,1,0,0,3,0
26,A,2021,Pituaçu,Salvador,BA,Domingo,13, Junho ,2021,20:30,Bahia - BA,Internacional - RS,0,1,0,1,0,0,3
27,A,2021,Nabi Abi Chedid,Braganca Paulista,SP,Domingo,13, Junho ,2021,20:30,Red Bull Bragantino - SP,Fluminense - RJ,2,2,0,0,1,1,1
28,A,2021,Arena Condá,Chapeco,SC,Domingo,13, Junho ,2021,20:30,Chapecoense - SC,Ceará - CE,0,0,0,0,1,1,1
