,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,A,2019,Arena do Grêmio,Porto Alegre,RS,Domingo,28, Abril ,2019,11:00,Grêmio - RS,Santos - SP,1,2,0,1,0,0,3
1,A,2019,Independência,Belo Horizonte,MG,Sábado,27, Abril ,2019,19:00,Atlético - MG,Avaí - SC,2,1,1,0,0,3,0
2,A,2019,Arena Castelão,Fortaleza,CE,Domingo,28, Abril ,2019,16:00,Ceará - CE,Csa - AL,4,0,1,0,0,3,0
3,A,2019,Allianz Parque,Sao Paulo,SP,Domingo,28, Abril ,2019,19:00,Palmeiras - SP,Fortaleza - CE,4,0,1,0,0,3,0
4,A,2019,Morumbi,Sao Paulo,SP,Sábado,27, Abril ,2019,16:00,São Paulo - SP,Botafogo - RJ,2,0,1,0,0,3,0
5,A,2019,Maracanã,Rio de Janeiro,RJ,Sábado,27, Abril ,2019,21:00,Flamengo - RJ,Cruzeiro - MG,3,1,1,0,0,3,0
6,A,2019,Maracanã,Rio de Janeiro,RJ,Domingo,28, Abril ,2019,19:00,Fluminense - RJ,Goiás - GO,0,1,0,1,0,0,3
7,A,2019,Arena Condá,Chapeco,SC,Sábado,27, Abril ,2019,19:00,Chapecoense - SC,Internacional - RS,2,0,1,0,0,3,0
8,A,2019,Arena Fonte Nova,Salvador,BA,Domingo,28, Abril ,2019,16:00,Bahia - BA,Corinthians - SP,3,2,1,0,0,3,0
9,A,2019,Arena da Baixada,Curitiba,PR,Domingo,28, Abril ,2019,16:00,Athletico Paranaense - PR,Vasco da Gama - RJ,4,1,1,0,0,3,0
10,A,2019,Beira,Rio,Porto Alegre,Quarta,1, Maio ,2019,16:00,Internacional - RS,Flamengo - RJ,2,1,1,0,0,3,0
11,A,2019,Mineirão,Belo Horizonte,MG,Quarta,1, Maio ,2019,19:15,Cruzeiro - MG,Ceará - CE,1,0,1,0,0,3,0
12,A,2019,Arena Castelão,Fortaleza,CE,Quarta,1, Maio ,2019,21:30,Fortaleza - CE,Athletico Paranaense - PR,2,1,1,0,0,3,0
13,A,2019,Arena Corinthians,Sao Paulo,SP,Quarta,1, Maio ,2019,16:00,Corinthians - SP,Chapecoense - SC,1,0,1,0,0,3,0
14,A,2019,Vila Belmiro,Santos,SP,Quinta,2, Maio ,2019,19:15,Santos - SP,Fluminense - RJ,2,1,1,0,0,3,0
15,A,2019,São Januário,Rio de Janeiro,RJ,Quarta,1, Maio ,2019,21:30,Vasco da Gama - RJ,Atlético - MG,1,2,0,1,0,0,3
16,A,2019,Nilton Santos,Rio de Janeiro,RJ,Quinta,2, Maio ,2019,20:00,Botafogo - RJ,Bahia - BA,3,2,1,0,0,3,0
17,A,2019,Ressacada,Florianopolis,SC,Quarta,1, Maio ,2019,19:15,Avaí - SC,Grêmio - RS,1,1,0,0,1,1,1
18,A,2019,Serra Dourada,Goiania,GO,Quarta,1, Maio ,2019,21:30,Goiás - GO,São Paulo - SP,1,2,0,1,0,0,3
19,A,2019,Rei Pelé,Maceio,AL,Quarta,1, Maio ,2019,16:00,Csa - AL,Palmeiras - SP,1,1,0,0,1,1,1
20,A,2019,Arena do Grêmio,Porto Alegre,RS,Domingo,5, Maio ,2019,19:00,Grêmio - RS,Fluminense - RJ,4,5,0,1,0,0,3
21,A,2019,Mineirão,Belo Horizonte,MG,Domingo,5, Maio ,2019,16:00,Cruzeiro - MG,Goiás - GO,2,1,1,0,0,3,0
22,A,2019,Arena Castelão,Fortaleza,CE,Sábado,4, Maio ,2019,21:00,Ceará - CE,Atlético - MG,1,2,0,1,0,0,3
23,A,2019,Allianz Parque,Sao Paulo,SP,Sábado,4, Maio ,2019,19:00,Palmeiras - SP,Internacional - RS,1,0,1,0,0,3,0
24,A,2019,Morumbi,Sao Paulo,SP,Domingo,5, Maio ,2019,16:00,São Paulo - SP,Flamengo - RJ,1,1,0,0,1,1,1
25,A,2019,Arena da Amazônia,Manaus,AM,Sábado,4, Maio ,2019,19:00,Vasco da Gama - RJ,Corinthians - SP,1,1,0,0,1,1,1
26,A,2019,Nilton Santos,Rio de Janeiro,RJ,Domingo,5, Maio ,2019,16:00,Botafogo - RJ,Fortaleza - CE,1,0,1,0,0,3,0
27,A,2019,Arena Condá,Chapeco,SC,Domingo,5, Maio ,2019,11:00,Chapecoense - SC,Athletico Paranaense - PR,1,1,0,0,1,1,1
28,A,2019,Arena Fonte Nova,Salvador,BA,Domingo,5, Maio ,2019,19:00,Bahia - BA,Avaí - SC,1,0,1,0,0,3,0
29,A,2019,Rei Pelé,Maceio,AL,Domingo,5, Maio ,2019,16:00,Csa - AL,Santos - SP,0,0,0,0,1,1,1
30,A,2019,Beira,Rio,Porto Alegre,Domingo,12, Maio ,2019,16:00,Internacional - RS,Cruzeiro - MG,3,1,1,0,0,3,0
31,A,2019,Mineirão,Belo Horizonte,MG,Domingo,12, Maio ,2019,16:00,Atlético - MG,Palmeiras - SP,0,2,0,1,0,0,3
32,A,2019,Arena Castelão,Fortaleza,CE,Domingo,12, Maio ,2019,19:00,Fortaleza - CE,São Paulo - SP,0,1,0,1,0,0,3
33,A,2019,Arena Corinthians,Sao Paulo,SP,Sábado,11, Maio ,2019,19:00,Corinthians - SP,Grêmio - RS,0,0,0,0,1,1,1
34,A,2019,Pacaembu,Sao Paulo,SP,Domingo,12, Maio ,2019,16:00,Santos - SP,Vasco da Gama - RJ,3,0,1,0,0,3,0
35,A,2019,Maracanã,Rio de Janeiro,RJ,Domingo,12, Maio ,2019,11:00,Flamengo - RJ,Chapecoense - SC,2,1,1,0,0,3,0
36,A,2019,Maracanã,Rio de Janeiro,RJ,Sábado,11, Maio ,2019,16:00,Fluminense - RJ,Botafogo - RJ,0,1,0,1,0,0,3
37,A,2019,Ressacada,Florianopolis,SC,Domingo,12, Maio ,2019,19:00,Avaí - SC,Csa - AL,0,0,0,0,1,1,1
38,A,2019,Serra Dourada,Goiania,GO,Sábado,11, Maio ,2019,21:00,Goiás - GO,Ceará - CE,2,1,1,0,0,3,0
39,A,2019,Arena da Baixada,Curitiba,PR,Domingo,12, Maio ,2019,19:00,Athletico Paranaense - PR,Bahia - BA,1,0,1,0,0,3,0
40,A,2019,Beira,Rio,Porto Alegre,Domingo,19, Maio ,2019,16:00,Internacional - RS,Csa - AL,2,0,1,0,0,3,0
41,A,2019,Independência,Belo Horizonte,MG,Sábado,18, Maio ,2019,19:00,Atlético - MG,Flamengo - RJ,2,1,1,0,0,3,0
42,A,2019,Arena Castelão,Fortaleza,CE,Domingo,19, Maio ,2019,19:00,Ceará - CE,Grêmio - RS,2,1,1,0,0,3,0
43,A,2019,Pacaembu,Sao Paulo,SP,Sábado,18, Maio ,2019,19:00,Palmeiras - SP,Santos - SP,4,0,1,0,0,3,0
44,A,2019,Morumbi,Sao Paulo,SP,Domingo,19, Maio ,2019,11:00,São Paulo - SP,Bahia - BA,0,0,0,0,1,1,1
45,A,2019,São Januário,Rio de Janeiro,RJ,Domingo,19, Maio ,2019,19:00,Vasco da Gama - RJ,Avaí - SC,1,1,0,0,1,1,1
46,A,2019,Maracanã,Rio de Janeiro,RJ,Sábado,18, Maio ,2019,18:00,Fluminense - RJ,Cruzeiro - MG,4,1,1,0,0,3,0
47,A,2019,Arena Condá,Chapeco,SC,Domingo,19, Maio ,2019,16:00,Chapecoense - SC,Fortaleza - CE,1,3,0,1,0,0,3
48,A,2019,Serra Dourada,Goiania,GO,Domingo,19, Maio ,2019,16:00,Goiás - GO,Botafogo - RJ,1,0,1,0,0,3,0
49,A,2019,Arena da Baixada,Curitiba,PR,Domingo,19, Maio ,2019,16:00,Athletico Paranaense - PR,Corinthians - SP,0,2,0,1,0,0,3
50,A,2019,Arena do Grêmio,Porto Alegre,RS,Sábado,25, Maio ,2019,19:00,Grêmio - RS,Atlético - MG,1,0,1,0,0,3,0
51,A,2019,Independência,Belo Horizonte,MG,Domingo,26, Maio ,2019,19:00,Cruzeiro - MG,Chapecoense - SC,1,2,0,1,0,0,3
52,A,2019,Arena Castelão,Fortaleza,CE,Domingo,26, Maio ,2019,19:00,Fortaleza - CE,Vasco da Gama - RJ,1,1,0,0,1,1,1
53,A,2019,Arena Corinthians,Sao Paulo,SP,Domingo,26, Maio ,2019,19:00,Corinthians - SP,São Paulo - SP,1,0,1,0,0,3,0
54,A,2019,Vila Belmiro,Santos,SP,Domingo,26, Maio ,2019,16:00,Santos - SP,Internacional - RS,0,0,0,0,1,1,1
55,A,2019,Maracanã,Rio de Janeiro,RJ,Domingo,26, Maio ,2019,16:00,Flamengo - RJ,Athletico Paranaense - PR,3,2,1,0,0,3,0
