,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2017,Frasqueirão,Natal,RN,Sábado,13, Maio ,2017,16:30,Abc - RN,Paraná - PR,0,0,0,0,1,1,1
1,B,2017,Arena Pernambuco,São Lourenço da Mata,PE,Sexta,12, Maio ,2017,21:30,Náutico - PE,América - MG,0,0,0,0,1,1,1
2,B,2017,Heriberto Hulse,Criciuma,SC,Sábado,13, Maio ,2017,16:30,Criciúma - SC,Santa Cruz - PE,1,2,0,1,0,0,3
3,B,2017,Serra Dourada,Goiania,GO,Sábado,13, Maio ,2017,19:00,Goiás - GO,Figueirense - SC,0,1,0,1,0,0,3
4,B,2017,Brinco de Ouro,Campinas,SP,Sexta,12, Maio ,2017,20:30,Guarani - SP,Brasil - RS,2,0,1,0,0,3,0
5,B,2017,Alfredo Jaconi,Caxias do Sul,RS,Sexta,12, Maio ,2017,20:30,Juventude - RS,Luverdense - MT,2,1,1,0,0,3,0
6,B,2017,Do Café,Londrina,PR,Sábado,13, Maio ,2017,16:30,Londrina - PR,Internacional - RS,0,3,0,1,0,0,3
7,B,2017,Dilzon Melo,Varginha,MG,Sábado,13, Maio ,2017,16:30,Boa - MG,Vila Nova - GO,0,1,0,1,0,0,3
8,B,2017,Curuzu,Belem,PA,Sábado,13, Maio ,2017,21:00,Paysandu - PA,Oeste - SP,2,0,1,0,0,3,0
9,B,2017,Rei Pelé,Maceio,AL,Sexta,12, Maio ,2017,19:15,Crb - AL,Ceará - CE,1,0,1,0,0,3,0
10,B,2017,Presidente Vargas,Fortaleza,CE,Terça,16, Maio ,2017,21:30,Ceará - CE,Boa - MG,0,0,0,0,1,1,1
11,B,2017,Arruda,Recife,PE,Sábado,20, Maio ,2017,16:30,Santa Cruz - PE,Guarani - SP,2,1,1,0,0,3,0
12,B,2017,Orlando Scarpelli,Florianopolis,SC,Sábado,20, Maio ,2017,16:30,Figueirense - SC,Náutico - PE,3,0,1,0,0,3,0
13,B,2017,Serra Dourada,Goiania,GO,Sexta,19, Maio ,2017,20:30,Vila Nova - GO,Juventude - RS,0,0,0,0,1,1,1
14,B,2017,Arena Barueri,Barueri,SP,Sábado,20, Maio ,2017,16:30,Oeste - SP,Criciúma - SC,1,0,1,0,0,3,0
15,B,2017,Bento Freitas,Pelotas,RS,Terça,16, Maio ,2017,19:15,Brasil - RS,Londrina - PR,1,1,0,0,1,1,1
16,B,2017,Durival Britto,Curitiba,PR,Sexta,19, Maio ,2017,19:15,Paraná - PR,Paysandu - PA,0,0,0,0,1,1,1
17,B,2017,Independência,Belo Horizonte,MG,Sexta,19, Maio ,2017,21:30,América - MG,Goiás - GO,1,1,0,0,1,1,1
18,B,2017,Arena Pantanal,Cuiaba,MT,Sábado,20, Maio ,2017,16:30,Luverdense - MT,Crb - AL,1,1,0,0,1,1,1
19,B,2017,Beira,Rio,Porto Alegre,Sábado,20, Maio ,2017,19:00,Internacional - RS,Abc - RN,1,1,0,0,1,1,1
20,B,2017,Frasqueirão,Natal,RN,Sábado,27, Maio ,2017,16:30,Abc - RN,Vila Nova - GO,1,0,1,0,0,3,0
21,B,2017,Arena Pernambuco,São Lourenço da Mata,PE,Sábado,27, Maio ,2017,16:30,Náutico - PE,Ceará - CE,0,2,0,1,0,0,3
22,B,2017,Heriberto Hulse,Criciuma,SC,Sexta,26, Maio ,2017,19:15,Criciúma - SC,América - MG,1,3,0,1,0,0,3
23,B,2017,Serra Dourada,Goiania,GO,Sexta,26, Maio ,2017,21:30,Goiás - GO,Brasil - RS,1,1,0,0,1,1,1
24,B,2017,Brinco de Ouro,Campinas,SP,Terça,23, Maio ,2017,21:30,Guarani - SP,Figueirense - SC,2,0,1,0,0,3,0
25,B,2017,Alfredo Jaconi,Caxias do Sul,RS,Sábado,27, Maio ,2017,19:00,Juventude - RS,Paraná - PR,2,1,1,0,0,3,0
26,B,2017,Do Café,Londrina,PR,Sábado,27, Maio ,2017,16:30,Londrina - PR,Luverdense - MT,3,1,1,0,0,3,0
27,B,2017,Dilzon Melo,Varginha,MG,Sexta,26, Maio ,2017,20:30,Boa - MG,Oeste - SP,1,1,0,0,1,1,1
28,B,2017,Mangueirão,Belem,PA,Sábado,27, Maio ,2017,16:30,Paysandu - PA,Internacional - RS,1,0,1,0,0,3,0
29,B,2017,Rei Pelé,Maceio,AL,Terça,23, Maio ,2017,19:15,Crb - AL,Santa Cruz - PE,1,0,1,0,0,3,0
30,B,2017,Castelão,Fortaleza,CE,Sexta,2, Junho ,2017,21:30,Ceará - CE,Londrina - PR,1,0,1,0,0,3,0
31,B,2017,Arruda,Recife,PE,Sábado,3, Junho ,2017,16:30,Santa Cruz - PE,Abc - RN,2,1,1,0,0,3,0
32,B,2017,Orlando Scarpelli,Florianopolis,SC,Terça,30, Maio ,2017,19:15,Figueirense - SC,Boa - MG,0,2,0,1,0,0,3
33,B,2017,Serra Dourada,Goiania,GO,Sábado,3, Junho ,2017,16:30,Vila Nova - GO,Guarani - SP,3,1,1,0,0,3,0
34,B,2017,Arena Barueri,Barueri,SP,Sexta,2, Junho ,2017,20:30,Oeste - SP,Crb - AL,2,0,1,0,0,3,0
35,B,2017,Bento Freitas,Pelotas,RS,Terça,30, Maio ,2017,21:30,Brasil - RS,Náutico - PE,2,0,1,0,0,3,0
36,B,2017,Durival Britto,Curitiba,PR,Terça,16, Maio ,2017,21:30,Paraná - PR,Goiás - GO,2,0,1,0,0,3,0
37,B,2017,Independência,Belo Horizonte,MG,Sexta,2, Junho ,2017,19:15,América - MG,Paysandu - PA,0,2,0,1,0,0,3
38,B,2017,Arena Pantanal,Cuiaba,MT,Sábado,3, Junho ,2017,16:30,Luverdense - MT,Criciúma - SC,0,0,0,0,1,1,1
39,B,2017,Beira,Rio,Porto Alegre,Sábado,3, Junho ,2017,19:00,Internacional - RS,Juventude - RS,1,1,0,0,1,1,1
40,B,2017,Frasqueirão,Natal,RN,Terça,6, Junho ,2017,19:15,Abc - RN,Paysandu - PA,2,1,1,0,0,3,0
41,B,2017,Arena Pernambuco,São Lourenço da Mata,PE,Terça,6, Junho ,2017,20:30,Náutico - PE,Oeste - SP,1,1,0,0,1,1,1
42,B,2017,Orlando Scarpelli,Florianopolis,SC,Terça,6, Junho ,2017,20:30,Figueirense - SC,Internacional - RS,1,2,0,1,0,0,3
43,B,2017,Serra Dourada,Goiania,GO,Terça,6, Junho ,2017,20:30,Goiás - GO,Santa Cruz - PE,2,1,1,0,0,3,0
44,B,2017,Brinco de Ouro,Campinas,SP,Terça,6, Junho ,2017,19:15,Guarani - SP,Boa - MG,2,1,1,0,0,3,0
45,B,2017,Alfredo Jaconi,Caxias do Sul,RS,Terça,6, Junho ,2017,19:15,Juventude - RS,Criciúma - SC,1,0,1,0,0,3,0
46,B,2017,Do Café,Londrina,PR,Terça,6, Junho ,2017,20:30,Londrina - PR,Paraná - PR,1,1,0,0,1,1,1
47,B,2017,Independência,Belo Horizonte,MG,Terça,6, Junho ,2017,21:30,América - MG,Ceará - CE,1,0,1,0,0,3,0
48,B,2017,Arena Pantanal,Cuiaba,MT,Terça,6, Junho ,2017,21:30,Luverdense - MT,Vila Nova - GO,1,1,0,0,1,1,1
49,B,2017,Rei Pelé,Maceio,AL,Terça,6, Junho ,2017,21:30,Crb - AL,Brasil - RS,0,1,0,1,0,0,3
50,B,2017,Frasqueirão,Natal,RN,Sábado,10, Junho ,2017,19:00,Abc - RN,Figueirense - SC,2,2,0,0,1,1,1
51,B,2017,Arruda,Recife,PE,Sexta,9, Junho ,2017,20:30,Santa Cruz - PE,Londrina - PR,1,3,0,1,0,0,3
52,B,2017,Heriberto Hulse,Criciuma,SC,Sexta,9, Junho ,2017,19:15,Criciúma - SC,Crb - AL,1,0,1,0,0,3,0
53,B,2017,Serra Dourada,Goiania,GO,Sexta,9, Junho ,2017,20:30,Vila Nova - GO,América - MG,2,0,1,0,0,3,0
54,B,2017,Arena Barueri,Barueri,SP,Sábado,10, Junho ,2017,21:00,Oeste - SP,Luverdense - MT,0,0,0,0,1,1,1
55,B,2017,Bento Freitas,Pelotas,RS,Sábado,10, Junho ,2017,16:30,Brasil - RS,Ceará - CE,2,3,0,1,0,0,3
56,B,2017,Durival Britto,Curitiba,PR,Sábado,10, Junho ,2017,16:30,Paraná - PR,Guarani - SP,0,1,0,1,0,0,3
57,B,2017,Dilzon Melo,Varginha,MG,Sábado,10, Junho ,2017,16:30,Boa - MG,Juventude - RS,0,2,0,1,0,0,3
58,B,2017,Mangueirão,Belem,PA,Sexta,9, Junho ,2017,21:30,Paysandu - PA,Goiás - GO,0,1,0,1,0,0,3
59,B,2017,Beira,Rio,Porto Alegre,Sábado,10, Junho ,2017,16:30,Internacional - RS,Náutico - PE,4,2,1,0,0,3,0
60,B,2017,Castelão,Fortaleza,CE,Terça,13, Junho ,2017,21:30,Ceará - CE,Santa Cruz - PE,1,3,0,1,0,0,3
61,B,2017,Arena Pernambuco,São Lourenço da Mata,PE,Terça,13, Junho ,2017,19:15,Náutico - PE,Paraná - PR,1,2,0,1,0,0,3
62,B,2017,Orlando Scarpelli,Florianopolis,SC,Terça,13, Junho ,2017,20:30,Figueirense - SC,Criciúma - SC,2,2,0,0,1,1,1
63,B,2017,Serra Dourada,Goiania,GO,Terça,13, Junho ,2017,20:30,Goiás - GO,Boa - MG,4,1,1,0,0,3,0
64,B,2017,Brinco de Ouro,Campinas,SP,Terça,13, Junho ,2017,19:15,Guarani - SP,Paysandu - PA,2,0,1,0,0,3,0
65,B,2017,Alfredo Jaconi,Caxias do Sul,RS,Terça,13, Junho ,2017,20:30,Juventude - RS,Abc - RN,3,0,1,0,0,3,0
66,B,2017,Do Café,Londrina,PR,Terça,13, Junho ,2017,19:15,Londrina - PR,Oeste - SP,1,1,0,0,1,1,1
67,B,2017,Independência,Belo Horizonte,MG,Terça,13, Junho ,2017,21:30,América - MG,Internacional - RS,1,1,0,0,1,1,1
68,B,2017,Arena Pantanal,Cuiaba,MT,Terça,13, Junho ,2017,21:30,Luverdense - MT,Brasil - RS,4,0,1,0,0,3,0
69,B,2017,Rei Pelé,Maceio,AL,Terça,13, Junho ,2017,20:30,Crb - AL,Vila Nova - GO,1,2,0,1,0,0,3
