,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2019,Brinco de Ouro,Campinas,SP,Sábado,27, Abril ,2019,16:30,Guarani - SP,Figueirense - SC,0,0,0,0,1,1,1
1,B,2019,Santa Cruz,Ribeirao Preto,SP,Sábado,27, Abril ,2019,11:00,Botafogo - SP,Vitória - BA,3,1,1,0,0,3,0
2,B,2019,Walter Ribeiro,Sorocaba,SP,Sexta,26, Abril ,2019,21:30,São Bento - SP,Atlético - GO,1,3,0,1,0,0,3
3,B,2019,Olímpico Pedro Ludovico,Goiania,GO,Sábado,27, Abril ,2019,21:00,Vila Nova - GO,Paraná - PR,1,1,0,0,1,1,1
4,B,2019,Couto Pereira,Curitiba,PR,Segunda,29, Abril ,2019,20:00,Coritiba - PR,Ponte Preta - SP,2,0,1,0,0,3,0
5,B,2019,Germano Kruger,Ponta Grossa,PR,Sexta,26, Abril ,2019,19:15,Operario - PR,America Fc - MG,1,0,1,0,0,3,0
6,B,2019,Heriberto Hulse,Criciuma,SC,Sábado,27, Abril ,2019,16:30,Criciúma - SC,Cuiabá - MT,0,1,0,1,0,0,3
7,B,2019,Bento Freitas,Pelotas,RS,Sexta,26, Abril ,2019,19:15,Brasil - RS,Bragantino - SP,0,1,0,1,0,0,3
8,B,2019,Ilha do Retiro,Recife,PE,Sexta,26, Abril ,2019,21:30,Sport - PE,Oeste - SP,1,1,0,0,1,1,1
9,B,2019,Rei Pelé,Maceio,AL,Domingo,28, Abril ,2019,16:00,Crb - AL,Londrina - PR,1,2,0,1,0,0,3
10,B,2019,Moisés Lucarelli,Campinas,SP,Quinta,2, Maio ,2019,21:00,Ponte Preta - SP,Criciúma - SC,1,1,0,0,1,1,1
11,B,2019,Nabi Abi Chedid,Braganca Paulista,SP,Segunda,6, Maio ,2019,20:00,Bragantino - SP,Sport - PE,1,1,0,0,1,1,1
12,B,2019,Arena Barueri,Barueri,SP,Quarta,1, Maio ,2019,16:00,Oeste - SP,Guarani - SP,2,0,1,0,0,3,0
13,B,2019,Antônio Accioly,Goiania,GO,Sexta,3, Maio ,2019,21:30,Atlético - GO,Coritiba - PR,1,1,0,0,1,1,1
14,B,2019,Durival Britto,Curitiba,PR,Sábado,4, Maio ,2019,19:00,Paraná - PR,Crb - AL,1,0,1,0,0,3,0
15,B,2019,Do Café,Londrina,PR,Sexta,3, Maio ,2019,19:15,Londrina - PR,Brasil - RS,1,0,1,0,0,3,0
16,B,2019,Orlando Scarpelli,Florianopolis,SC,Sábado,4, Maio ,2019,11:00,Figueirense - SC,São Bento - SP,2,2,0,0,1,1,1
17,B,2019,Independência,Belo Horizonte,MG,Terça,30, Abril ,2019,21:30,America Fc - MG,Botafogo - SP,0,1,0,1,0,0,3
18,B,2019,Manoel Barradas,Salvador,BA,Sábado,4, Maio ,2019,16:30,Vitória - BA,Vila Nova - GO,2,1,1,0,0,3,0
19,B,2019,Arena Pantanal,Cuiaba,MT,Sábado,4, Maio ,2019,19:00,Cuiabá - MT,Operario - PR,2,1,1,0,0,3,0
20,B,2019,Brinco de Ouro,Campinas,SP,Segunda,13, Maio ,2019,20:00,Guarani - SP,Vitória - BA,3,2,1,0,0,3,0
21,B,2019,Nabi Abi Chedid,Braganca Paulista,SP,Sexta,10, Maio ,2019,19:15,Bragantino - SP,Atlético - GO,3,0,1,0,0,3,0
22,B,2019,Walter Ribeiro,Sorocaba,SP,Quinta,9, Maio ,2019,19:15,São Bento - SP,Botafogo - SP,0,1,0,1,0,0,3
23,B,2019,Serra Dourada,Goiania,GO,Sexta,10, Maio ,2019,21:30,Vila Nova - GO,Ponte Preta - SP,0,0,0,0,1,1,1
24,B,2019,Couto Pereira,Curitiba,PR,Quinta,9, Maio ,2019,21:30,Coritiba - PR,Londrina - PR,0,0,0,0,1,1,1
25,B,2019,Germano Kruger,Ponta Grossa,PR,Sábado,11, Maio ,2019,19:00,Operario - PR,Oeste - SP,0,0,0,0,1,1,1
26,B,2019,Heriberto Hulse,Criciuma,SC,Sábado,11, Maio ,2019,11:00,Criciúma - SC,America Fc - MG,0,0,0,0,1,1,1
27,B,2019,Bento Freitas,Pelotas,RS,Sábado,11, Maio ,2019,19:00,Brasil - RS,Crb - AL,0,2,0,1,0,0,3
28,B,2019,Ilha do Retiro,Recife,PE,Sábado,11, Maio ,2019,16:30,Sport - PE,Figueirense - SC,0,0,0,0,1,1,1
29,B,2019,Arena Pantanal,Cuiaba,MT,Sábado,11, Maio ,2019,19:00,Cuiabá - MT,Paraná - PR,1,1,0,0,1,1,1
30,B,2019,Moisés Lucarelli,Campinas,SP,Sexta,17, Maio ,2019,21:30,Ponte Preta - SP,Operario - PR,1,0,1,0,0,3,0
31,B,2019,Santa Cruz,Ribeirao Preto,SP,Sábado,18, Maio ,2019,19:00,Botafogo - SP,Vila Nova - GO,0,1,0,1,0,0,3
32,B,2019,Arena Barueri,Barueri,SP,Terça,14, Maio ,2019,19:15,Oeste - SP,Cuiabá - MT,1,1,0,0,1,1,1
33,B,2019,Antônio Accioly,Goiania,GO,Sexta,17, Maio ,2019,19:15,Atlético - GO,Criciúma - SC,3,1,1,0,0,3,0
34,B,2019,Durival Britto,Curitiba,PR,Sábado,18, Maio ,2019,16:30,Paraná - PR,Guarani - SP,0,0,0,0,1,1,1
35,B,2019,Do Café,Londrina,PR,Sábado,18, Maio ,2019,11:00,Londrina - PR,Bragantino - SP,1,0,1,0,0,3,0
36,B,2019,Orlando Scarpelli,Florianopolis,SC,Terça,14, Maio ,2019,21:30,Figueirense - SC,Brasil - RS,1,0,1,0,0,3,0
37,B,2019,Independência,Belo Horizonte,MG,Domingo,19, Maio ,2019,16:00,America Fc - MG,Sport - PE,1,2,0,1,0,0,3
38,B,2019,Manoel Barradas,Salvador,BA,Sábado,18, Maio ,2019,16:30,Vitória - BA,São Bento - SP,1,3,0,1,0,0,3
39,B,2019,Rei Pelé,Maceio,AL,Segunda,20, Maio ,2019,20:00,Crb - AL,Coritiba - PR,1,0,1,0,0,3,0
40,B,2019,Moisés Lucarelli,Campinas,SP,Sábado,25, Maio ,2019,16:30,Ponte Preta - SP,Paraná - PR,4,2,1,0,0,3,0
41,B,2019,Nabi Abi Chedid,Braganca Paulista,SP,Terça,21, Maio ,2019,21:30,Bragantino - SP,Figueirense - SC,2,0,1,0,0,3,0
42,B,2019,Walter Ribeiro,Sorocaba,SP,Sábado,25, Maio ,2019,16:30,São Bento - SP,Oeste - SP,1,0,1,0,0,3,0
43,B,2019,Antônio Accioly,Goiania,GO,Domingo,26, Maio ,2019,16:00,Atlético - GO,Vitória - BA,1,1,0,0,1,1,1
44,B,2019,Couto Pereira,Curitiba,PR,Sábado,25, Maio ,2019,11:00,Coritiba - PR,Cuiabá - MT,2,1,1,0,0,3,0
45,B,2019,Germano Kruger,Ponta Grossa,PR,Sábado,25, Maio ,2019,19:00,Operario - PR,Botafogo - SP,0,2,0,1,0,0,3
46,B,2019,Heriberto Hulse,Criciuma,SC,Terça,21, Maio ,2019,19:15,Criciúma - SC,Guarani - SP,1,0,1,0,0,3,0
47,B,2019,Bento Freitas,Pelotas,RS,Sábado,25, Maio ,2019,19:00,Brasil - RS,America Fc - MG,2,1,1,0,0,3,0
48,B,2019,Ilha do Retiro,Recife,PE,Sexta,24, Maio ,2019,21:30,Sport - PE,Londrina - PR,3,2,1,0,0,3,0
49,B,2019,Rei Pelé,Maceio,AL,Sexta,24, Maio ,2019,19:15,Crb - AL,Vila Nova - GO,1,1,0,0,1,1,1
50,B,2019,Brinco de Ouro,Campinas,SP,Terça,28, Maio ,2019,21:30,Guarani - SP,Brasil - RS,1,2,0,1,0,0,3
51,B,2019,Santa Cruz,Ribeirao Preto,SP,Sábado,1, Junho ,2019,16:30,Botafogo - SP,Criciúma - SC,1,0,1,0,0,3,0
52,B,2019,Walter Ribeiro,Sorocaba,SP,Sexta,31, Maio ,2019,20:30,São Bento - SP,Crb - AL,1,2,0,1,0,0,3
