,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2021,São Januário,Rio de Janeiro,RJ,Sábado,29, Maio ,2021,11:00,Vasco da Gama - RJ,Operário - PR,0,2,0,1,0,0,3
1,B,2021,Onésio Brasileiro Alvarenga,Goiania,GO,Sexta,28, Maio ,2021,21:30,Vila Nova - GO,Botafogo - RJ,1,1,0,0,1,1,1
2,B,2021,Brinco de Ouro,Campinas,SP,Sexta,28, Maio ,2021,19:00,Guarani - SP,Vitória - BA,1,1,0,0,1,1,1
3,B,2021,Aflitos,Recife,PE,Sexta,28, Maio ,2021,21:30,Náutico - PE,Csa - AL,1,0,1,0,0,3,0
4,B,2021,Bento Freitas,Pelotas,RS,Sexta,28, Maio ,2021,16:00,Brasil - RS,Londrina - PR,0,0,0,0,1,1,1
5,B,2021,Rei Pelé,Maceio,AL,Sábado,29, Maio ,2021,16:00,Crb - AL,Remo - PA,2,2,0,0,1,1,1
6,B,2021,Couto Pereira,Curitiba,PR,Sábado,29, Maio ,2021,18:15,Coritiba - PR,Avaí - SC,2,0,1,0,0,3,0
7,B,2021,Augusto Bauer,Brusque,SC,Domingo,30, Maio ,2021,11:00,Brusque - SC,Ponte Preta - SP,2,1,1,0,0,3,0
8,B,2021,Batistão,Aracaju,SE,Sábado,29, Maio ,2021,16:30,Confiança - SE,Cruzeiro - MG,3,1,1,0,0,3,0
9,B,2021,Castelão,Sao Luis,MA,Segunda,31, Maio ,2021,20:00,Sampaio Corrêa - MA,Goiás - GO,0,0,0,0,1,1,1
10,B,2021,Nilton Santos,Rio de Janeiro,RJ,Sábado,5, Junho ,2021,21:00,Botafogo - RJ,Coritiba - PR,2,0,1,0,0,3,0
11,B,2021,Hailé Pinheiro,Goiania,GO,Sexta,4, Junho ,2021,17:30,Goiás - GO,Confiança - SE,2,0,1,0,0,3,0
12,B,2021,Moisés Lucarelli,Campinas,SP,Domingo,6, Junho ,2021,16:00,Ponte Preta - SP,Vasco da Gama - RJ,1,1,0,0,1,1,1
13,B,2021,Mineirão,Belo Horizonte,MG,Domingo,6, Junho ,2021,18:15,Cruzeiro - MG,Crb - AL,3,4,0,1,0,0,3
14,B,2021,Do Café,Londrina,PR,Sábado,5, Junho ,2021,11:00,Londrina - PR,Brusque - SC,0,1,0,1,0,0,3
15,B,2021,Rei Pelé,Maceio,AL,Sábado,5, Junho ,2021,16:30,Csa - AL,Sampaio Corrêa - MA,0,0,0,0,1,1,1
16,B,2021,Couto Pereira,Curitiba,PR,Terça,1, Junho ,2021,19:00,Operário - PR,Guarani - SP,2,5,0,1,0,0,3
17,B,2021,Ressacada,Florianopolis,SC,Domingo,6, Junho ,2021,20:30,Avaí - SC,Vila Nova - GO,1,1,0,0,1,1,1
18,B,2021,Manoel Barradas,Salvador,BA,Segunda,7, Junho ,2021,20:00,Vitória - BA,Náutico - PE,0,1,0,1,0,0,3
19,B,2021,Baenão,Belem,PA,Sábado,5, Junho ,2021,19:00,Remo - PA,Brasil - RS,1,0,1,0,0,3,0
20,B,2021,Raulino de Oliveira,Volta Redonda,RJ,Domingo,13, Junho ,2021,16:00,Botafogo - RJ,Remo - PA,3,0,1,0,0,3,0
21,B,2021,Anibal Batista de Toledo,Aparecida de Goiania,GO,Sábado,12, Junho ,2021,19:00,Vila Nova - GO,Csa - AL,1,0,1,0,0,3,0
22,B,2021,Brinco de Ouro,Campinas,SP,Sexta,11, Junho ,2021,21:30,Guarani - SP,Náutico - PE,1,3,0,1,0,0,3
23,B,2021,Mineirão,Belo Horizonte,MG,Sábado,12, Junho ,2021,21:00,Cruzeiro - MG,Goiás - GO,1,1,0,0,1,1,1
24,B,2021,Bento Freitas,Pelotas,RS,Sábado,12, Junho ,2021,19:00,Brasil - RS,Vasco da Gama - RJ,1,2,0,1,0,0,3
25,B,2021,Rei Pelé,Maceio,AL,Sábado,12, Junho ,2021,16:30,Crb - AL,Confiança - SE,3,2,1,0,0,3,0
26,B,2021,Couto Pereira,Curitiba,PR,Domingo,13, Junho ,2021,20:30,Coritiba - PR,Londrina - PR,1,1,0,0,1,1,1
27,B,2021,Ressacada,Florianopolis,SC,Domingo,13, Junho ,2021,16:00,Avaí - SC,Brusque - SC,1,2,0,1,0,0,3
28,B,2021,Manoel Barradas,Salvador,BA,Domingo,13, Junho ,2021,20:30,Vitória - BA,Operário - PR,0,0,0,0,1,1,1
29,B,2021,Castelão,Sao Luis,MA,Sexta,11, Junho ,2021,19:00,Sampaio Corrêa - MA,Ponte Preta - SP,1,0,1,0,0,3,0
30,B,2021,São Januário,Rio de Janeiro,RJ,Quarta,16, Junho ,2021,19:00,Vasco da Gama - RJ,Avaí - SC,0,2,0,1,0,0,3
31,B,2021,Hailé Pinheiro,Goiania,GO,Terça,15, Junho ,2021,21:30,Goiás - GO,Crb - AL,1,0,1,0,0,3,0
32,B,2021,Moisés Lucarelli,Campinas,SP,Quarta,16, Junho ,2021,21:30,Ponte Preta - SP,Cruzeiro - MG,0,1,0,1,0,0,3
33,B,2021,Aflitos,Recife,PE,Terça,15, Junho ,2021,19:00,Náutico - PE,Vila Nova - GO,2,0,1,0,0,3,0
34,B,2021,Do Café,Londrina,PR,Quinta,17, Junho ,2021,19:00,Londrina - PR,Botafogo - RJ,2,2,0,0,1,1,1
35,B,2021,Rei Pelé,Maceio,AL,Terça,15, Junho ,2021,19:00,Csa - AL,Guarani - SP,1,1,0,0,1,1,1
36,B,2021,Germano Kruger,Ponta Grossa,PR,Quarta,16, Junho ,2021,18:00,Operário - PR,Sampaio Corrêa - MA,1,0,1,0,0,3,0
37,B,2021,Augusto Bauer,Brusque,SC,Terça,3, Agosto ,2021,19:00,Brusque - SC,Coritiba - PR,0,0,0,0,1,1,1
38,B,2021,Batistão,Aracaju,SE,Terça,15, Junho ,2021,21:30,Confiança - SE,Brasil - RS,1,1,0,0,1,1,1
39,B,2021,Baenão,Belem,PA,Quarta,16, Junho ,2021,16:00,Remo - PA,Vitória - BA,0,0,0,0,1,1,1
40,B,2021,São Januário,Rio de Janeiro,RJ,Sábado,19, Junho ,2021,16:30,Vasco da Gama - RJ,Crb - AL,3,0,1,0,0,3,0
41,B,2021,Anibal Batista de Toledo,Aparecida de Goiania,GO,Sábado,19, Junho ,2021,21:00,Vila Nova - GO,Coritiba - PR,0,1,0,1,0,0,3
42,B,2021,Brinco de Ouro,Campinas,SP,Sábado,19, Junho ,2021,18:30,Guarani - SP,Ponte Preta - SP,1,0,1,0,0,3,0
43,B,2021,Aflitos,Recife,PE,Domingo,20, Junho ,2021,16:00,Náutico - PE,Botafogo - RJ,3,1,1,0,0,3,0
44,B,2021,Bento Freitas,Pelotas,RS,Sexta,18, Junho ,2021,21:30,Brasil - RS,Goiás - GO,2,1,1,0,0,3,0
45,B,2021,Rei Pelé,Maceio,AL,Domingo,20, Junho ,2021,20:30,Csa - AL,Londrina - PR,1,0,1,0,0,3,0
46,B,2021,Germano Kruger,Ponta Grossa,PR,Sábado,19, Junho ,2021,19:00,Operário - PR,Cruzeiro - MG,2,1,1,0,0,3,0
47,B,2021,Ressacada,Florianopolis,SC,Quarta,28, Julho ,2021,19:00,Avaí - SC,Remo - PA,1,0,1,0,0,3,0
48,B,2021,Manoel Barradas,Salvador,BA,Sábado,19, Junho ,2021,19:00,Vitória - BA,Brusque - SC,3,1,1,0,0,3,0
49,B,2021,Castelão,Sao Luis,MA,Sábado,19, Junho ,2021,21:00,Sampaio Corrêa - MA,Confiança - SE,3,1,1,0,0,3,0
50,B,2021,Nilton Santos,Rio de Janeiro,RJ,Terça,27, Julho ,2021,21:30,Botafogo - RJ,Csa - AL,2,0,1,0,0,3,0
51,B,2021,Hailé Pinheiro,Goiania,GO,Terça,22, Junho ,2021,19:00,Goiás - GO,Avaí - SC,3,0,1,0,0,3,0
52,B,2021,Moisés Lucarelli,Campinas,SP,Terça,22, Junho ,2021,19:00,Ponte Preta - SP,Operário - PR,0,0,0,0,1,1,1
53,B,2021,Mineirão,Belo Horizonte,MG,Quinta,24, Junho ,2021,21:30,Cruzeiro - MG,Vasco da Gama - RJ,2,1,1,0,0,3,0
54,B,2021,Do Café,Londrina,PR,Quarta,23, Junho ,2021,16:00,Londrina - PR,Náutico - PE,0,0,0,0,1,1,1
55,B,2021,Rei Pelé,Maceio,AL,Terça,22, Junho ,2021,21:30,Crb - AL,Brasil - RS,2,1,1,0,0,3,0
56,B,2021,Couto Pereira,Curitiba,PR,Terça,22, Junho ,2021,21:30,Coritiba - PR,Vitória - BA,1,0,1,0,0,3,0
57,B,2021,Augusto Bauer,Brusque,SC,Terça,22, Junho ,2021,16:30,Brusque - SC,Sampaio Corrêa - MA,0,0,0,0,1,1,1
58,B,2021,Batistão,Aracaju,SE,Terça,22, Junho ,2021,16:30,Confiança - SE,Vila Nova - GO,1,0,1,0,0,3,0
59,B,2021,Baenão,Belem,PA,Terça,22, Junho ,2021,21:30,Remo - PA,Guarani - SP,0,0,0,0,1,1,1
60,B,2021,São Januário,Rio de Janeiro,RJ,Domingo,27, Junho ,2021,21:00,Vasco da Gama - RJ,Brusque - SC,2,1,1,0,0,3,0
61,B,2021,Onésio Brasileiro Alvarenga,Goiania,GO,Sexta,25, Junho ,2021,21:30,Vila Nova - GO,Goiás - GO,0,0,0,0,1,1,1
62,B,2021,Brinco de Ouro,Campinas,SP,Sexta,25, Junho ,2021,19:00,Guarani - SP,Coritiba - PR,0,2,0,1,0,0,3
63,B,2021,Aflitos,Recife,PE,Sábado,26, Junho ,2021,21:00,Náutico - PE,Remo - PA,1,1,0,0,1,1,1
64,B,2021,Bento Freitas,Pelotas,RS,Sexta,25, Junho ,2021,19:00,Brasil - RS,Ponte Preta - SP,1,1,0,0,1,1,1
65,B,2021,Rei Pelé,Maceio,AL,Domingo,27, Junho ,2021,20:30,Csa - AL,Cruzeiro - MG,2,1,1,0,0,3,0
66,B,2021,Germano Kruger,Ponta Grossa,PR,Sexta,25, Junho ,2021,19:00,Operário - PR,Confiança - SE,0,0,0,0,1,1,1
67,B,2021,Ressacada,Florianopolis,SC,Sexta,25, Junho ,2021,16:30,Avaí - SC,Crb - AL,1,0,1,0,0,3,0
68,B,2021,Manoel Barradas,Salvador,BA,Sábado,26, Junho ,2021,18:30,Vitória - BA,Londrina - PR,1,2,0,1,0,0,3
69,B,2021,Castelão,Sao Luis,MA,Sábado,26, Junho ,2021,16:30,Sampaio Corrêa - MA,Botafogo - RJ,2,0,1,0,0,3,0
70,B,2021,Raulino de Oliveira,Volta Redonda,RJ,Quarta,30, Junho ,2021,21:30,Botafogo - RJ,Vitória - BA,1,0,1,0,0,3,0
71,B,2021,Hailé Pinheiro,Goiania,GO,Quarta,30, Junho ,2021,19:00,Goiás - GO,Vasco da Gama - RJ,1,0,1,0,0,3,0
72,B,2021,Moisés Lucarelli,Campinas,SP,Quarta,30, Junho ,2021,16:30,Ponte Preta - SP,Csa - AL,2,1,1,0,0,3,0
73,B,2021,Mineirão,Belo Horizonte,MG,Quarta,30, Junho ,2021,19:00,Cruzeiro - MG,Guarani - SP,3,3,0,0,1,1,1
74,B,2021,Do Café,Londrina,PR,Quarta,30, Junho ,2021,19:00,Londrina - PR,Avaí - SC,1,3,0,1,0,0,3
75,B,2021,Rei Pelé,Maceio,AL,Terça,29, Junho ,2021,21:30,Crb - AL,Náutico - PE,1,1,0,0,1,1,1
76,B,2021,Germano Kruger,Ponta Grossa,PR,Segunda,28, Junho ,2021,18:00,Operário - PR,Vila Nova - GO,1,2,0,1,0,0,3
77,B,2021,Augusto Bauer,Brusque,SC,Quarta,30, Junho ,2021,17:00,Brusque - SC,Brasil - RS,1,0,1,0,0,3,0
78,B,2021,Batistão,Aracaju,SE,Terça,29, Junho ,2021,19:00,Confiança - SE,Coritiba - PR,0,1,0,1,0,0,3
79,B,2021,Baenão,Belem,PA,Terça,29, Junho ,2021,21:30,Remo - PA,Sampaio Corrêa - MA,0,2,0,1,0,0,3
