,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,C,2016,Arena das Dunas,Natal,RN,Domingo,22, Maio ,2016,19:00,América - RN,ABC - RN,1,0,1,0,0,3,0
1,C,2016,Arena Pantanal,Cuiaba,MT,Sábado,21, Maio ,2016,19:00,Cuiabá - MT,Remo - PA,1,1,0,0,1,1,1
2,C,2016,Castelão,Fortaleza,CE,Segunda,23, Maio ,2016,20:00,Fortaleza - CE,Ríver - PI,1,1,0,0,1,1,1
3,C,2016,Cornélio de Barros Muniz,Salgueiro,PE,Quarta,25, Maio ,2016,20:30,Salgueiro - PE,Botafogo - PB,1,0,1,0,0,3,0
4,C,2016,Coaracy Fonseca,Arapiraca,AL,Domingo,22, Maio ,2016,16:00,Asa - AL,Confiança - SE,1,1,0,0,1,1,1
5,C,2016,Santa Cruz,Ribeirao Preto,SP,Domingo,22, Maio ,2016,19:00,Botafogo - SP,Mogi Mirim - SP,1,0,1,0,0,3,0
6,C,2016,Canindé,Sao Paulo,SP,Segunda,23, Maio ,2016,15:00,Portuguesa - SP,Macaé - RJ,1,2,0,1,0,0,3
7,C,2016,Dilzon Melo,Varginha,MG,Domingo,22, Maio ,2016,16:00,Boa - MG,Tombense - MG,1,1,0,0,1,1,1
8,C,2016,Brinco de Ouro,Campinas,SP,Domingo,22, Maio ,2016,11:00,Guarani - SP,Guaratinguetá - SP,4,0,1,0,0,3,0
9,C,2016,Arena do Grêmio,Porto Alegre,RS,Segunda,23, Maio ,2016,20:30,Juventude - RS,Ypiranga - RS,1,1,0,0,1,1,1
10,C,2016,Frasqueirão,Natal,RN,Sábado,28, Maio ,2016,20:00,ABC - RN,Salgueiro - PE,2,0,1,0,0,3,0
11,C,2016,Mangueirão,Belem,PA,Segunda,30, Maio ,2016,20:00,Remo - PA,Asa - AL,0,1,0,1,0,0,3
12,C,2016,Alberto Silva,Teresina,PI,Domingo,29, Maio ,2016,16:00,Ríver - PI,América - RN,2,3,0,1,0,0,3
13,C,2016,Almeidão,Joao Pessoa,PB,Sábado,28, Maio ,2016,19:00,Botafogo - PB,Cuiabá - MT,1,0,1,0,0,3,0
14,C,2016,Lourival Baptista,Aracaju,SE,Domingo,29, Maio ,2016,19:00,Confiança - SE,Fortaleza - CE,0,2,0,1,0,0,3
15,C,2016,Romildo Ferreira,Mogi Mirim,SP,Domingo,29, Maio ,2016,11:00,Mogi Mirim - SP,Portuguesa - SP,0,0,0,0,1,1,1
16,C,2016,Moacyrzão,Macae,RJ,Sábado,28, Maio ,2016,16:00,Macaé - RJ,Boa - MG,1,5,0,1,0,0,3
17,C,2016,Antônio Guimarães de Almeida,Tombos,MG,Sábado,28, Maio ,2016,15:30,Tombense - MG,Guarani - SP,1,1,0,0,1,1,1
18,C,2016,Agostinho Prada,Limeira,SP,Domingo,29, Maio ,2016,11:00,Guaratinguetá - SP,Juventude - RS,0,5,0,1,0,0,3
19,C,2016,Colosso da Lagoa,Erechim,RS,Domingo,29, Maio ,2016,16:00,Ypiranga - RS,Botafogo - SP,2,1,1,0,0,3,0
20,C,2016,Arena das Dunas,Natal,RN,Segunda,6, Junho ,2016,20:00,América - RN,Fortaleza - CE,0,3,0,1,0,0,3
21,C,2016,Arena Pantanal,Cuiaba,MT,Domingo,5, Junho ,2016,17:00,Cuiabá - MT,Confiança - SE,3,0,1,0,0,3,0
22,C,2016,Alberto Silva,Teresina,PI,Domingo,5, Junho ,2016,19:00,Ríver - PI,Remo - PA,1,2,0,1,0,0,3
23,C,2016,Almeidão,Joao Pessoa,PB,Domingo,5, Junho ,2016,16:00,Botafogo - PB,ABC - RN,2,0,1,0,0,3,0
24,C,2016,Coaracy Fonseca,Arapiraca,AL,Domingo,5, Junho ,2016,16:00,Asa - AL,Salgueiro - PE,0,0,0,0,1,1,1
25,C,2016,Santa Cruz,Ribeirao Preto,SP,Domingo,5, Junho ,2016,16:00,Botafogo - SP,Boa - MG,2,0,1,0,0,3,0
26,C,2016,Canindé,Sao Paulo,SP,Sábado,4, Junho ,2016,16:00,Portuguesa - SP,Ypiranga - RS,3,1,1,0,0,3,0
27,C,2016,Antônio Guimarães de Almeida,Tombos,MG,Sábado,4, Junho ,2016,15:30,Tombense - MG,Macaé - RJ,1,0,1,0,0,3,0
28,C,2016,Agostinho Prada,Limeira,SP,Domingo,5, Junho ,2016,11:00,Guaratinguetá - SP,Mogi Mirim - SP,0,1,0,1,0,0,3
29,C,2016,Alfredo Jaconi,Caxias do Sul,RS,Sábado,4, Junho ,2016,19:00,Juventude - RS,Guarani - SP,0,2,0,1,0,0,3
30,C,2016,Frasqueirão,Natal,RN,Sábado,11, Junho ,2016,19:00,ABC - RN,Confiança - SE,0,0,0,0,1,1,1
31,C,2016,Mangueirão,Belem,PA,Sábado,11, Junho ,2016,18:00,Remo - PA,Botafogo - PB,0,0,0,0,1,1,1
32,C,2016,Castelão,Fortaleza,CE,Domingo,12, Junho ,2016,19:00,Fortaleza - CE,Cuiabá - MT,2,0,1,0,0,3,0
33,C,2016,Cornélio de Barros Muniz,Salgueiro,PE,Domingo,12, Junho ,2016,19:00,Salgueiro - PE,América - RN,2,0,1,0,0,3,0
34,C,2016,Coaracy Fonseca,Arapiraca,AL,Domingo,12, Junho ,2016,16:00,Asa - AL,Ríver - PI,0,0,0,0,1,1,1
35,C,2016,Romildo Ferreira,Mogi Mirim,SP,Sábado,11, Junho ,2016,15:30,Mogi Mirim - SP,Tombense - MG,1,1,0,0,1,1,1
36,C,2016,Canindé,Sao Paulo,SP,Domingo,12, Junho ,2016,11:00,Portuguesa - SP,Botafogo - SP,0,5,0,1,0,0,3
37,C,2016,Dilzon Melo,Varginha,MG,Segunda,13, Junho ,2016,19:00,Boa - MG,Juventude - RS,2,1,1,0,0,3,0
38,C,2016,Brinco de Ouro,Campinas,SP,Domingo,12, Junho ,2016,16:00,Guarani - SP,Macaé - RJ,1,0,1,0,0,3,0
39,C,2016,Colosso da Lagoa,Erechim,RS,Domingo,12, Junho ,2016,15:00,Ypiranga - RS,Guaratinguetá - SP,3,2,1,0,0,3,0
40,C,2016,Arena das Dunas,Natal,RN,Domingo,19, Junho ,2016,16:00,América - RN,Asa - AL,1,2,0,1,0,0,3
41,C,2016,Arena Pantanal,Cuiaba,MT,Domingo,19, Junho ,2016,17:00,Cuiabá - MT,Salgueiro - PE,0,0,0,0,1,1,1
42,C,2016,Castelão,Fortaleza,CE,Sábado,18, Junho ,2016,18:00,Fortaleza - CE,ABC - RN,0,1,0,1,0,0,3
43,C,2016,Almeidão,Joao Pessoa,PB,Domingo,19, Junho ,2016,16:00,Botafogo - PB,Ríver - PI,2,1,1,0,0,3,0
44,C,2016,Lourival Baptista,Aracaju,SE,Domingo,19, Junho ,2016,19:00,Confiança - SE,Remo - PA,3,5,0,1,0,0,3
45,C,2016,Santa Cruz,Ribeirao Preto,SP,Segunda,20, Junho ,2016,20:00,Botafogo - SP,Guaratinguetá - SP,6,2,1,0,0,3,0
46,C,2016,Moacyrzão,Macae,RJ,Sábado,18, Junho ,2016,16:00,Macaé - RJ,Mogi Mirim - SP,0,1,0,1,0,0,3
47,C,2016,Antônio Guimarães de Almeida,Tombos,MG,Sábado,18, Junho ,2016,15:30,Tombense - MG,Ypiranga - RS,4,0,1,0,0,3,0
48,C,2016,Brinco de Ouro,Campinas,SP,Domingo,19, Junho ,2016,11:00,Guarani - SP,Boa - MG,2,1,1,0,0,3,0
49,C,2016,Alfredo Jaconi,Caxias do Sul,RS,Sábado,18, Junho ,2016,19:00,Juventude - RS,Portuguesa - SP,1,2,0,1,0,0,3
50,C,2016,Arena das Dunas,Natal,RN,Sábado,25, Junho ,2016,19:00,América - RN,Botafogo - PB,1,1,0,0,1,1,1
51,C,2016,Mangueirão,Belem,PA,Sábado,25, Junho ,2016,18:00,Remo - PA,ABC - RN,1,1,0,0,1,1,1
52,C,2016,Alberto Silva,Teresina,PI,Domingo,26, Junho ,2016,16:00,Ríver - PI,Confiança - SE,1,2,0,1,0,0,3
53,C,2016,Cornélio de Barros Muniz,Salgueiro,PE,Domingo,26, Junho ,2016,19:00,Salgueiro - PE,Fortaleza - CE,1,1,0,0,1,1,1
54,C,2016,Coaracy Fonseca,Arapiraca,AL,Domingo,26, Junho ,2016,16:00,Asa - AL,Cuiabá - MT,1,0,1,0,0,3,0
55,C,2016,Santa Cruz,Ribeirao Preto,SP,Domingo,26, Junho ,2016,11:00,Botafogo - SP,Juventude - RS,1,1,0,0,1,1,1
56,C,2016,Canindé,Sao Paulo,SP,Segunda,27, Junho ,2016,20:00,Portuguesa - SP,Guarani - SP,0,0,0,0,1,1,1
57,C,2016,Dilzon Melo,Varginha,MG,Domingo,26, Junho ,2016,16:00,Boa - MG,Mogi Mirim - SP,1,1,0,0,1,1,1
58,C,2016,Agostinho Prada,Limeira,SP,Domingo,26, Junho ,2016,11:00,Guaratinguetá - SP,Tombense - MG,2,2,0,0,1,1,1
59,C,2016,Colosso da Lagoa,Erechim,RS,Domingo,26, Junho ,2016,15:00,Ypiranga - RS,Macaé - RJ,2,0,1,0,0,3,0
60,C,2016,Frasqueirão,Natal,RN,Sábado,2, Julho ,2016,19:00,ABC - RN,Ríver - PI,4,0,1,0,0,3,0
61,C,2016,Arena Pantanal,Cuiaba,MT,Domingo,3, Julho ,2016,19:00,Cuiabá - MT,América - RN,2,2,0,0,1,1,1
62,C,2016,Castelão,Fortaleza,CE,Domingo,3, Julho ,2016,18:00,Fortaleza - CE,Asa - AL,2,1,1,0,0,3,0
63,C,2016,Cornélio de Barros Muniz,Salgueiro,PE,Segunda,4, Julho ,2016,19:15,Salgueiro - PE,Remo - PA,1,0,1,0,0,3,0
64,C,2016,Lourival Baptista,Aracaju,SE,Domingo,3, Julho ,2016,16:00,Confiança - SE,Botafogo - PB,1,1,0,0,1,1,1
65,C,2016,Romildo Ferreira,Mogi Mirim,SP,Sábado,2, Julho ,2016,15:30,Mogi Mirim - SP,Ypiranga - RS,3,1,1,0,0,3,0
66,C,2016,Moacyrzão,Macae,RJ,Sábado,2, Julho ,2016,16:00,Macaé - RJ,Guaratinguetá - SP,3,1,1,0,0,3,0
67,C,2016,Dilzon Melo,Varginha,MG,Domingo,3, Julho ,2016,11:00,Boa - MG,Portuguesa - SP,1,0,1,0,0,3,0
68,C,2016,Brinco de Ouro,Campinas,SP,Sábado,2, Julho ,2016,19:00,Guarani - SP,Botafogo - SP,0,0,0,0,1,1,1
69,C,2016,Alfredo Jaconi,Caxias do Sul,RS,Domingo,3, Julho ,2016,16:00,Juventude - RS,Tombense - MG,3,0,1,0,0,3,0
70,C,2016,Frasqueirão,Natal,RN,Domingo,10, Julho ,2016,16:00,ABC - RN,Cuiabá - MT,2,1,1,0,0,3,0
71,C,2016,Mangueirão,Belem,PA,Domingo,10, Julho ,2016,18:30,Remo - PA,Fortaleza - CE,2,0,1,0,0,3,0
72,C,2016,Alberto Silva,Teresina,PI,Domingo,10, Julho ,2016,16:00,Ríver - PI,Salgueiro - PE,1,0,1,0,0,3,0
73,C,2016,Almeidão,Joao Pessoa,PB,Domingo,10, Julho ,2016,16:00,Botafogo - PB,Asa - AL,2,0,1,0,0,3,0
74,C,2016,Lourival Baptista,Aracaju,SE,Domingo,10, Julho ,2016,19:00,Confiança - SE,América - RN,0,2,0,1,0,0,3
75,C,2016,Romildo Ferreira,Mogi Mirim,SP,Segunda,11, Julho ,2016,19:15,Mogi Mirim - SP,Guarani - SP,1,0,1,0,0,3,0
76,C,2016,Moacyrzão,Macae,RJ,Sábado,9, Julho ,2016,19:00,Macaé - RJ,Juventude - RS,1,2,0,1,0,0,3
77,C,2016,Antônio Guimarães de Almeida,Tombos,MG,Domingo,10, Julho ,2016,11:00,Tombense - MG,Botafogo - SP,3,1,1,0,0,3,0
