,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,A,2017,Maracanã,Rio de Janeiro,RJ,Domingo,14, Maio ,2017,11:00,Fluminense - RJ,Santos - SP,3,2,1,0,0,3,0
1,A,2017,Maracanã,Rio de Janeiro,RJ,Sábado,13, Maio ,2017,16:00,Flamengo - RJ,Atlético - MG,1,1,0,0,1,1,1
2,A,2017,Allianz Parque,Sao Paulo,SP,Domingo,14, Maio ,2017,16:00,Palmeiras - SP,Vasco da Gama - RJ,4,0,1,0,0,3,0
3,A,2017,Arena Corinthians,Sao Paulo,SP,Sábado,13, Maio ,2017,19:00,Corinthians - SP,Chapecoense - SC,1,1,0,0,1,1,1
4,A,2017,Mineirão,Belo Horizonte,MG,Domingo,14, Maio ,2017,16:00,Cruzeiro - MG,São Paulo - SP,1,0,1,0,0,3,0
5,A,2017,Couto Pereira,Curitiba,PR,Segunda,15, Maio ,2017,20:00,Coritiba - PR,Atlético - GO,4,1,1,0,0,3,0
6,A,2017,Arena do Grêmio,Porto Alegre,RS,Domingo,14, Maio ,2017,19:00,Grêmio - RS,Botafogo - RJ,2,0,1,0,0,3,0
7,A,2017,Arena Fonte Nova,Salvador,BA,Domingo,14, Maio ,2017,16:00,Bahia - BA,Atlético - PR,6,2,1,0,0,3,0
8,A,2017,Moisés Lucarelli,Campinas,SP,Domingo,14, Maio ,2017,16:00,Ponte Preta - SP,Sport - PE,4,0,1,0,0,3,0
9,A,2017,Ressacada,Florianopolis,SC,Domingo,14, Maio ,2017,16:00,Avaí - SC,Vitória - BA,0,0,0,0,1,1,1
10,A,2017,Nilton Santos,Rio de Janeiro,RJ,Domingo,21, Maio ,2017,18:00,Botafogo - RJ,Ponte Preta - SP,2,0,1,0,0,3,0
11,A,2017,São Januário,Rio de Janeiro,RJ,Domingo,21, Maio ,2017,11:00,Vasco da Gama - RJ,Bahia - BA,2,1,1,0,0,3,0
12,A,2017,Vila Belmiro,Santos,SP,Sábado,20, Maio ,2017,16:00,Santos - SP,Coritiba - PR,1,0,1,0,0,3,0
13,A,2017,Morumbi,Sao Paulo,SP,Segunda,22, Maio ,2017,20:00,São Paulo - SP,Avaí - SC,2,0,1,0,0,3,0
14,A,2017,Independência,Belo Horizonte,MG,Domingo,21, Maio ,2017,16:00,Atlético - MG,Fluminense - RJ,1,2,0,1,0,0,3
15,A,2017,Arena da Baixada,Curitiba,PR,Domingo,21, Maio ,2017,16:00,Atlético - PR,Grêmio - RS,0,2,0,1,0,0,3
16,A,2017,Ilha do Retiro,Recife,PE,Domingo,21, Maio ,2017,19:00,Sport - PE,Cruzeiro - MG,1,1,0,0,1,1,1
17,A,2017,Arena Fonte Nova,Salvador,BA,Domingo,21, Maio ,2017,16:00,Vitória - BA,Corinthians - SP,0,1,0,1,0,0,3
18,A,2017,Serra Dourada,Goiania,GO,Sábado,20, Maio ,2017,19:00,Atlético - GO,Flamengo - RJ,0,3,0,1,0,0,3
19,A,2017,Arena Condá,Chapeco,SC,Sábado,20, Maio ,2017,19:00,Chapecoense - SC,Palmeiras - SP,1,0,1,0,0,3,0
20,A,2017,Nilton Santos,Rio de Janeiro,RJ,Domingo,28, Maio ,2017,19:00,Botafogo - RJ,Bahia - BA,1,0,1,0,0,3,0
21,A,2017,São Januário,Rio de Janeiro,RJ,Sábado,27, Maio ,2017,16:00,Vasco da Gama - RJ,Fluminense - RJ,3,2,1,0,0,3,0
22,A,2017,Vila Belmiro,Santos,SP,Domingo,28, Maio ,2017,16:00,Santos - SP,Cruzeiro - MG,0,1,0,1,0,0,3
23,A,2017,Morumbi,Sao Paulo,SP,Sábado,27, Maio ,2017,19:00,São Paulo - SP,Palmeiras - SP,2,0,1,0,0,3,0
24,A,2017,Independência,Belo Horizonte,MG,Domingo,28, Maio ,2017,11:00,Atlético - MG,Ponte Preta - SP,2,2,0,0,1,1,1
25,A,2017,Arena da Baixada,Curitiba,PR,Domingo,28, Maio ,2017,16:00,Atlético - PR,Flamengo - RJ,1,1,0,0,1,1,1
26,A,2017,Ilha do Retiro,Recife,PE,Domingo,28, Maio ,2017,18:00,Sport - PE,Grêmio - RS,4,3,1,0,0,3,0
27,A,2017,Arena Fonte Nova,Salvador,BA,Sábado,27, Maio ,2017,21:00,Vitória - BA,Coritiba - PR,0,1,0,1,0,0,3
28,A,2017,Serra Dourada,Goiania,GO,Domingo,28, Maio ,2017,16:00,Atlético - GO,Corinthians - SP,0,1,0,1,0,0,3
29,A,2017,Arena Condá,Chapeco,SC,Segunda,29, Maio ,2017,20:00,Chapecoense - SC,Avaí - SC,2,0,1,0,0,3,0
30,A,2017,Maracanã,Rio de Janeiro,RJ,Sábado,3, Junho ,2017,18:00,Fluminense - RJ,Vitória - BA,2,1,1,0,0,3,0
31,A,2017,Raulino de Oliveira,Volta Redonda,RJ,Domingo,4, Junho ,2017,11:00,Flamengo - RJ,Botafogo - RJ,0,0,0,0,1,1,1
32,A,2017,Allianz Parque,Sao Paulo,SP,Domingo,4, Junho ,2017,16:00,Palmeiras - SP,Atlético - MG,0,0,0,0,1,1,1
33,A,2017,Arena Corinthians,Sao Paulo,SP,Sábado,3, Junho ,2017,19:00,Corinthians - SP,Santos - SP,2,0,1,0,0,3,0
34,A,2017,Mineirão,Belo Horizonte,MG,Domingo,4, Junho ,2017,19:00,Cruzeiro - MG,Chapecoense - SC,0,2,0,1,0,0,3
35,A,2017,Couto Pereira,Curitiba,PR,Sábado,3, Junho ,2017,16:00,Coritiba - PR,Atlético - PR,1,0,1,0,0,3,0
36,A,2017,Arena do Grêmio,Porto Alegre,RS,Domingo,4, Junho ,2017,16:00,Grêmio - RS,Vasco da Gama - RJ,2,0,1,0,0,3,0
37,A,2017,Arena Fonte Nova,Salvador,BA,Segunda,5, Junho ,2017,20:00,Bahia - BA,Atlético - GO,3,0,1,0,0,3,0
38,A,2017,Moisés Lucarelli,Campinas,SP,Domingo,4, Junho ,2017,16:00,Ponte Preta - SP,São Paulo - SP,1,0,1,0,0,3,0
