,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,B,2016,Castelão,Fortaleza,CE,Sábado,14, Maio ,2016,16:00,Ceará - CE,Paysandu - PA,2,2,0,0,1,1,1
1,B,2016,Arena Fonte Nova,Salvador,BA,Sábado,14, Maio ,2016,21:00,Bahia - BA,Avaí - SC,2,1,1,0,0,3,0
2,B,2016,Castelão,Sao Luis,MA,Sábado,14, Maio ,2016,16:00,Sampaio Correa - MA,Vasco da Gama - RJ,0,4,0,1,0,0,3
3,B,2016,Sílvio Salles,Catanduva,SP,Sexta,13, Maio ,2016,20:30,Oeste - SP,Atlético - GO,0,1,0,1,0,0,3
4,B,2016,Serra Dourada,Goiania,GO,Sexta,13, Maio ,2016,19:15,Vila Nova - GO,Bragantino - SP,3,1,1,0,0,3,0
5,B,2016,Passo das Emas,Lucas do Rio Verde,MT,Sábado,14, Maio ,2016,21:00,Luverdense - MT,Joinville - SC,1,1,0,0,1,1,1
6,B,2016,Mário Helênio,Juiz de Fora,MG,Sexta,13, Maio ,2016,21:30,Tupi - MG,Goiás - GO,0,1,0,1,0,0,3
7,B,2016,Bento Freitas,Pelotas,RS,Sábado,14, Maio ,2016,16:00,Brasil - RS,Paraná - PR,2,0,1,0,0,3,0
8,B,2016,Do Café,Londrina,PR,Sábado,14, Maio ,2016,16:00,Londrina - PR,Crb - AL,0,1,0,1,0,0,3
9,B,2016,Heriberto Hulse,Criciuma,SC,Sábado,14, Maio ,2016,16:30,Criciúma - SC,Náutico - PE,1,0,1,0,0,3,0
10,B,2016,Arena Pernambuco,São Lourenço da Mata,PE,Terça,17, Maio ,2016,21:30,Náutico - PE,Vila Nova - GO,3,2,1,0,0,3,0
11,B,2016,Rei Pelé,Maceio,AL,Sábado,21, Maio ,2016,16:30,Crb - AL,Ceará - CE,0,3,0,1,0,0,3
12,B,2016,Mangueirão,Belem,PA,Sábado,21, Maio ,2016,16:00,Paysandu - PA,Oeste - SP,1,1,0,0,1,1,1
13,B,2016,Nabi Abi Chedid,Braganca Paulista,SP,Terça,17, Maio ,2016,19:15,Bragantino - SP,Luverdense - MT,0,1,0,1,0,0,3
14,B,2016,JK,Itumbiara,GO,Sexta,20, Maio ,2016,20:30,Goiás - GO,Londrina - PR,1,1,0,0,1,1,1
15,B,2016,São Januário,Rio de Janeiro,RJ,Sábado,21, Maio ,2016,16:00,Vasco da Gama - RJ,Tupi - MG,1,0,1,0,0,3,0
16,B,2016,Serra Dourada,Goiania,GO,Sexta,20, Maio ,2016,19:15,Atlético - GO,Brasil - RS,1,0,1,0,0,3,0
17,B,2016,Arena Joinville,Joinville,SC,Sexta,20, Maio ,2016,21:30,Joinville - SC,Criciúma - SC,0,0,0,0,1,1,1
18,B,2016,Durival Britto,Curitiba,PR,Sábado,21, Maio ,2016,16:30,Paraná - PR,Bahia - BA,0,0,0,0,1,1,1
19,B,2016,Ressacada,Florianopolis,SC,Sábado,21, Maio ,2016,16:00,Avaí - SC,Sampaio Correa - MA,2,0,1,0,0,3,0
20,B,2016,Castelão,Fortaleza,CE,Terça,24, Maio ,2016,19:15,Ceará - CE,Atlético - GO,0,1,0,1,0,0,3
21,B,2016,Arena Fonte Nova,Salvador,BA,Quarta,25, Maio ,2016,19:30,Bahia - BA,Joinville - SC,1,0,1,0,0,3,0
22,B,2016,Castelão,Sao Luis,MA,Terça,24, Maio ,2016,19:15,Sampaio Correa - MA,Paraná - PR,1,2,0,1,0,0,3
23,B,2016,José Liberatti,Osasco,SP,Terça,24, Maio ,2016,19:15,Oeste - SP,Crb - AL,2,1,1,0,0,3,0
24,B,2016,Mané Garrincha,Brasilia,DF,Terça,24, Maio ,2016,21:30,Vila Nova - GO,Vasco da Gama - RJ,0,2,0,1,0,0,3
25,B,2016,Passo das Emas,Lucas do Rio Verde,MT,Terça,24, Maio ,2016,21:30,Luverdense - MT,Avaí - SC,1,1,0,0,1,1,1
26,B,2016,Mário Helênio,Juiz de Fora,MG,Terça,24, Maio ,2016,21:30,Tupi - MG,Paysandu - PA,5,1,1,0,0,3,0
27,B,2016,Bento Freitas,Pelotas,RS,Terça,24, Maio ,2016,19:15,Brasil - RS,Bragantino - SP,2,0,1,0,0,3,0
28,B,2016,Do Café,Londrina,PR,Terça,24, Maio ,2016,19:15,Londrina - PR,Náutico - PE,1,0,1,0,0,3,0
29,B,2016,Heriberto Hulse,Criciuma,SC,Terça,24, Maio ,2016,21:30,Criciúma - SC,Goiás - GO,3,1,1,0,0,3,0
30,B,2016,Arena Pernambuco,São Lourenço da Mata,PE,Sexta,27, Maio ,2016,21:30,Náutico - PE,Sampaio Correa - MA,5,0,1,0,0,3,0
31,B,2016,Rei Pelé,Maceio,AL,Sexta,27, Maio ,2016,19:15,Crb - AL,Criciúma - SC,2,1,1,0,0,3,0
32,B,2016,Curuzu,Belem,PA,Sábado,28, Maio ,2016,21:00,Paysandu - PA,Luverdense - MT,2,1,1,0,0,3,0
33,B,2016,Nabi Abi Chedid,Braganca Paulista,SP,Sábado,28, Maio ,2016,21:00,Bragantino - SP,Tupi - MG,2,1,1,0,0,3,0
34,B,2016,JK,Itumbiara,GO,Sexta,27, Maio ,2016,20:30,Goiás - GO,Brasil - RS,1,1,0,0,1,1,1
35,B,2016,São Januário,Rio de Janeiro,RJ,Sábado,28, Maio ,2016,16:30,Vasco da Gama - RJ,Bahia - BA,4,3,1,0,0,3,0
36,B,2016,Serra Dourada,Goiania,GO,Sábado,28, Maio ,2016,16:00,Atlético - GO,Vila Nova - GO,2,1,1,0,0,3,0
37,B,2016,Arena Joinville,Joinville,SC,Sábado,28, Maio ,2016,16:00,Joinville - SC,Londrina - PR,1,1,0,0,1,1,1
38,B,2016,Durival Britto,Curitiba,PR,Sexta,27, Maio ,2016,20:30,Paraná - PR,Oeste - SP,2,1,1,0,0,3,0
39,B,2016,Ressacada,Florianopolis,SC,Sábado,28, Maio ,2016,16:00,Avaí - SC,Ceará - CE,4,2,1,0,0,3,0
40,B,2016,Castelão,Fortaleza,CE,Terça,31, Maio ,2016,19:15,Ceará - CE,Goiás - GO,2,1,1,0,0,3,0
41,B,2016,Arena Fonte Nova,Salvador,BA,Terça,31, Maio ,2016,19:15,Bahia - BA,Náutico - PE,0,0,0,0,1,1,1
42,B,2016,Castelão,Sao Luis,MA,Terça,31, Maio ,2016,19:15,Sampaio Correa - MA,Bragantino - SP,0,0,0,0,1,1,1
43,B,2016,Arena Barueri,Barueri,SP,Terça,31, Maio ,2016,21:30,Oeste - SP,Vasco da Gama - RJ,1,1,0,0,1,1,1
44,B,2016,Serra Dourada,Goiania,GO,Terça,31, Maio ,2016,19:15,Vila Nova - GO,Crb - AL,1,2,0,1,0,0,3
45,B,2016,Passo das Emas,Lucas do Rio Verde,MT,Terça,31, Maio ,2016,21:30,Luverdense - MT,Atlético - GO,3,2,1,0,0,3,0
46,B,2016,Mário Helênio,Juiz de Fora,MG,Terça,31, Maio ,2016,21:30,Tupi - MG,Joinville - SC,1,2,0,1,0,0,3
47,B,2016,Bento Freitas,Pelotas,RS,Terça,31, Maio ,2016,19:15,Brasil - RS,Paysandu - PA,1,0,1,0,0,3,0
48,B,2016,Do Café,Londrina,PR,Terça,31, Maio ,2016,19:15,Londrina - PR,Paraná - PR,1,1,0,0,1,1,1
49,B,2016,Heriberto Hulse,Criciuma,SC,Terça,31, Maio ,2016,19:15,Criciúma - SC,Avaí - SC,1,0,1,0,0,3,0
50,B,2016,Arena Pernambuco,São Lourenço da Mata,PE,Sexta,3, Junho ,2016,21:30,Náutico - PE,Joinville - SC,2,0,1,0,0,3,0
