,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora,mandante,visitante,gol_mandante,gol_visitante,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante
0,A,2016,Allianz Parque,Sao Paulo,SP,Sábado,14, Maio ,2016,16:00,Palmeiras - SP,Atlético - PR,4,0,1,0,0,3,0
1,A,2016,Raulino de Oliveira,Volta Redonda,RJ,Sábado,14, Maio ,2016,16:00,Flamengo - RJ,Sport - PE,1,0,1,0,0,3,0
2,A,2016,Independência,Belo Horizonte,MG,Sábado,14, Maio ,2016,18:30,Atlético - MG,Santos - SP,1,0,1,0,0,3,0
3,A,2016,Couto Pereira,Curitiba,PR,Sábado,14, Maio ,2016,21:00,Coritiba - PR,Cruzeiro - MG,1,0,1,0,0,3,0
4,A,2016,Raulino de Oliveira,Volta Redonda,RJ,Domingo,15, Maio ,2016,11:00,Botafogo - RJ,São Paulo - SP,0,1,0,1,0,0,3
5,A,2016,Arruda,Recife,PE,Domingo,15, Maio ,2016,11:00,Santa Cruz - PE,Vitória - BA,4,1,1,0,0,3,0
6,A,2016,Arena Corinthians,Sao Paulo,SP,Domingo,15, Maio ,2016,16:00,Corinthians - SP,Grêmio - RS,0,0,0,0,1,1,1
7,A,2016,Orlando Scarpelli,Florianopolis,SC,Domingo,15, Maio ,2016,16:00,Figueirense - SC,Ponte Preta - SP,0,0,0,0,1,1,1
8,A,2016,Independência,Belo Horizonte,MG,Domingo,15, Maio ,2016,16:00,América - MG,Fluminense - RJ,0,1,0,1,0,0,3
9,A,2016,Beira Rio,Porto Alegre,RS,Domingo,15, Maio ,2016,18:30,Internacional - RS,Chapecoense - SC,0,0,0,0,1,1,1
10,A,2016,Manoel Barradas,Salvador,BA,Domingo,22, Maio ,2016,16:00,Vitória - BA,Corinthians - SP,3,2,1,0,0,3,0
11,A,2016,Raulino de Oliveira,Volta Redonda,RJ,Sábado,21, Maio ,2016,18:30,Fluminense - RJ,Santa Cruz - PE,2,2,0,0,1,1,1
12,A,2016,Mineirão,Belo Horizonte,MG,Sábado,21, Maio ,2016,21:00,Cruzeiro - MG,Figueirense - SC,2,2,0,0,1,1,1
13,A,2016,Vila Belmiro,Santos,SP,Domingo,22, Maio ,2016,11:00,Santos - SP,Coritiba - PR,2,1,1,0,0,3,0
14,A,2016,Arena da Baixada,Curitiba,PR,Domingo,22, Maio ,2016,11:00,Atlético - PR,Atlético - MG,1,1,0,0,1,1,1
15,A,2016,Arena Condá,Chapeco,SC,Domingo,22, Maio ,2016,16:00,Chapecoense - SC,América - MG,3,1,1,0,0,3,0
16,A,2016,Morumbi,Sao Paulo,SP,Domingo,22, Maio ,2016,16:00,São Paulo - SP,Internacional - RS,1,2,0,1,0,0,3
17,A,2016,Arena do Grêmio,Porto Alegre,RS,Domingo,22, Maio ,2016,16:00,Grêmio - RS,Flamengo - RJ,1,0,1,0,0,3,0
18,A,2016,Moisés Lucarelli,Campinas,SP,Sábado,21, Maio ,2016,16:00,Ponte Preta - SP,Palmeiras - SP,2,1,1,0,0,3,0
19,A,2016,Ilha do Retiro,Recife,PE,Domingo,22, Maio ,2016,18:30,Sport - PE,Botafogo - RJ,1,1,0,0,1,1,1
20,A,2016,Mário Helênio,Juiz de Fora,MG,Quarta,25, Maio ,2016,19:30,Botafogo - RJ,Atlético - PR,2,1,1,0,0,3,0
21,A,2016,Raulino de Oliveira,Volta Redonda,RJ,Quarta,25, Maio ,2016,21:00,Flamengo - RJ,Chapecoense - SC,2,2,0,0,1,1,1
